sourceLessonId,url,conceptId,queryFamily,currentH1,proposedH1,seoTitle,classification,rationale
P7.4,/subjects/math/precalculus/systems-matrices-and-multivariable-models/systems-in-three-variables/,concept.math.solve-and-classify-three-variable-linear-systems-and-interpret-their-solutions-as-intersections-of-planes,systems in three variables,Systems in three variables,Systems in three variables,Systems in three variables | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.5,/subjects/math/precalculus/systems-matrices-and-multivariable-models/matrix-notation-and-operations/,concept.math.represent-rectangular-arrays-with-matrices-and-perform-dimension-compatible-addition-scalar-multiplication-and-matrix-multiplication,matrix notation and operations,Matrix notation and operations,Matrix notation and operations,Matrix notation and operations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.6,/subjects/math/precalculus/systems-matrices-and-multivariable-models/augmented-matrices-and-row-operations/,concept.math.translate-linear-systems-into-augmented-matrices-and-justify-elementary-row-operations-as-equivalent-system-transformations,augmented matrices and row operations,Augmented matrices and row operations,Augmented matrices and row operations,Augmented matrices and row operations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.7,/subjects/math/precalculus/systems-matrices-and-multivariable-models/gaussian-elimination-and-echelon-form/,concept.math.use-forward-elimination-to-reach-row-echelon-form-and-solve-by-back-substitution,gaussian elimination and echelon form,Gaussian elimination and echelon form,Gaussian elimination and echelon form,Gaussian elimination and echelon form | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.8,/subjects/math/precalculus/systems-matrices-and-multivariable-models/gauss-jordan-elimination-and-reduced-row-echelon-form/,concept.math.reduce-matrices-to-rref-and-interpret-pivots-free-variables-rank-and-consistency-directly,gauss-jordan elimination and reduced row-echelon form,Gauss-Jordan elimination and reduced row-echelon form,Gauss-Jordan elimination and reduced row-echelon form,Gauss-Jordan elimination and reduced row-echelon form | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.9,/subjects/math/precalculus/systems-matrices-and-multivariable-models/determinants-singularity-and-inverse-matrices/,concept.math.compute-and-interpret-determinants-identify-singular-matrices-and-solve-suitable-systems-with-inverse-matrices,"determinants, singularity, and inverse matrices","Determinants, singularity, and inverse matrices","Determinants, singularity, and inverse matrices","Determinants, singularity, and inverse matrices | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P7.10,/subjects/math/precalculus/systems-matrices-and-multivariable-models/linear-transformations-and-multivariable-modeling/,concept.math.interpret-matrices-as-transformations-of-vectors-and-construct-a-complete-multivariable-model-using-equations-inequalities-and-matrices,linear transformations and multivariable modeling,Linear transformations and multivariable modeling,Linear transformations and multivariable modeling,Linear transformations and multivariable modeling | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P8.1,/subjects/math/precalculus/angles-radians-and-the-unit-circle/directed-rotation-and-coterminal-angles/,concept.math.represent-rotations-in-standard-position-and-generate-all-coterminal-angles,directed rotation and coterminal angles,Directed rotation and coterminal angles,Directed rotation and coterminal angles,Directed rotation and coterminal angles | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P8.2,/subjects/math/precalculus/angles-radians-and-the-unit-circle/degree-measure-and-angular-coordinates/,concept.math.use-degrees-revolutions-and-degree-minute-second-notation-to-measure-and-compare-rotation,degree measure and angular coordinates,Degree measure and angular coordinates,Degree Measure and Angular Coordinates,Degree Measure and Angular Coordinates | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P8.3,/subjects/math/precalculus/angles-radians-and-the-unit-circle/radian-measure-as-normalized-arc-length/,concept.math.define-radian-measure-as-signed-arc-length-divided-by-radius-and-explain-why-it-is-independent-of-circle-size,radians as normalized arc length,Radian measure as normalized arc length,Radians as Normalized Arc Length,Radians as Normalized Arc Length | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P8.4,/subjects/math/precalculus/angles-radians-and-the-unit-circle/arc-length-and-sector-area/,concept.math.derive-and-use-s-r-theta-and-a-1-2-r-2-theta-for-angles-measured-in-radians,arc length and sector area,Arc length and sector area,Arc length and sector area,Arc length and sector area | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P8.5,/subjects/math/precalculus/angles-radians-and-the-unit-circle/angular-speed-and-linear-speed/,concept.math.relate-angular-speed-radius-and-tangential-speed-using-v-r-omega,angular speed and linear speed,Angular speed and linear speed,Angular speed and linear speed,Angular speed and linear speed | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P8.6,/subjects/math/precalculus/angles-radians-and-the-unit-circle/wrapping-the-real-line-around-the-unit-circle/,concept.math.map-any-real-number-t-to-the-unit-circle-point-reached-by-signed-arc-length-t,wrapping the real line around the unit circle,Wrapping the real line around the unit circle,Wrapping the Real Line Around the Unit Circle,Wrapping the Real Line Around the Unit Circle | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P8.7,/subjects/math/precalculus/angles-radians-and-the-unit-circle/sine-and-cosine-as-coordinate-functions/,concept.math.define-cosine-and-sine-as-the-x-and-y-coordinates-of-the-unit-circle-point-p-t,sine and cosine as unit-circle coordinates,Sine and cosine as coordinate functions,Sine and Cosine as Unit-Circle Coordinates,Sine and Cosine as Unit-Circle Coordinates | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P8.8,/subjects/math/precalculus/angles-radians-and-the-unit-circle/exact-values-from-special-triangles/,concept.math.derive-exact-unit-circle-values-from-45-45-90-and-30-60-90-triangles,exact values from special triangles,Exact values from special triangles,Exact values from special triangles,Exact values from special triangles | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P8.9,/subjects/math/precalculus/angles-radians-and-the-unit-circle/reference-angles-quadrants-and-signs/,concept.math.use-reference-angles-and-quadrant-signs-to-evaluate-trigonometric-functions-of-arbitrary-rotations,"reference angles, quadrants, and signs","Reference angles, quadrants, and signs","Reference angles, quadrants, and signs","Reference angles, quadrants, and signs | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P8.10,/subjects/math/precalculus/angles-radians-and-the-unit-circle/tangent-and-the-reciprocal-functions/,concept.math.define-tangent-cotangent-secant-and-cosecant-from-sine-and-cosine-and-state-domains-signs-periods-and-identities,tangent and the reciprocal functions,Tangent and the reciprocal functions,Tangent and the reciprocal functions,Tangent and the reciprocal functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.1,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/building-the-sine-graph-from-circular-motion/,concept.math.construct-y-sin-t-from-the-vertical-coordinate-of-a-rotating-unit-circle-point,building the sine graph from circular motion,Building the sine graph from circular motion,Building the sine graph from circular motion,Building the sine graph from circular motion | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.2,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/building-the-cosine-graph-from-circular-motion/,concept.math.construct-y-cos-t-from-the-horizontal-coordinate-of-circular-motion-and-compare-it-with-sine,building the cosine graph from circular motion,Building the cosine graph from circular motion,Building the cosine graph from circular motion,Building the cosine graph from circular motion | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.3,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/amplitude-reflection-and-midline/,concept.math.interpret-a-and-d-in-y-a-sin-x-d-or-y-a-cos-x-d,"amplitude, reflection, and midline in sinusoidal graphs","Amplitude, reflection, and midline","Amplitude, Reflection, and Midline in Sinusoidal Graphs","Amplitude, Reflection, and Midline in Sinusoidal Graphs | Better Grades",RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P9.4,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/period-frequency-and-angular-frequency/,concept.math.relate-inside-scale-b-to-period-ordinary-frequency-and-angular-frequency,"period, frequency, and angular frequency","Period, frequency, and angular frequency","Period, frequency, and angular frequency","Period, frequency, and angular frequency | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.5,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/phase-shift-and-timing/,concept.math.interpret-b-x-c-as-a-horizontal-timing-shift-and-recover-c-from-graph-or-context,phase shift and timing,Phase shift and timing,Phase shift and timing,Phase shift and timing | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.6,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/the-general-sinusoidal-function/,concept.math.build-and-analyze-y-a-sin-b-x-c-d-and-equivalent-cosine-forms,the general sinusoidal function and its parameters,The general sinusoidal function,The General Sinusoidal Function and Its Parameters,The General Sinusoidal Function and Its Parameters | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P9.7,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/tangent-and-cotangent-graphs/,concept.math.derive-tangent-and-cotangent-graphs-from-quotient-definitions-zeros-asymptotes-and-period-pi,tangent and cotangent graphs,Tangent and cotangent graphs,Tangent and cotangent graphs,Tangent and cotangent graphs | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.8,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/secant-and-cosecant-graphs/,concept.math.construct-secant-and-cosecant-graphs-as-reciprocals-of-cosine-and-sine,secant and cosecant graphs,Secant and cosecant graphs,Secant and cosecant graphs,Secant and cosecant graphs | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.9,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/symmetry-periodicity-and-the-six-function-family/,concept.math.compare-domains-ranges-parity-periods-zeros-and-asymptotes-of-all-six-trig-functions,symmetry and periodicity across the six trigonometric functions,"Symmetry, periodicity, and the six-function family",Symmetry and Periodicity Across the Six Trigonometric Functions,Symmetry and Periodicity Across the Six Trigonometric Functions | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P9.10,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/inverse-trigonometric-functions-and-branch-restrictions/,concept.math.define-inverse-sine-cosine-and-tangent-using-one-to-one-branches-and-principal-value-ranges,inverse trigonometric functions and branch restrictions,Inverse trigonometric functions and branch restrictions,Inverse trigonometric functions and branch restrictions,Inverse trigonometric functions and branch restrictions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.11,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/basic-trigonometric-equations/,concept.math.solve-sin-x-k-cos-x-k-and-tan-x-k-using-exact-values-inverse-functions-periodicity-and-interval-restrictions,basic trigonometric equations,Basic trigonometric equations,Basic trigonometric equations,Basic trigonometric equations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P9.12,/subjects/math/precalculus/trigonometric-functions-and-periodic-models/sinusoidal-modeling-and-regression/,concept.math.fit-and-critique-sinusoidal-models-using-amplitude-midline-period-phase-residuals-and-domain,sinusoidal modeling and regression,Sinusoidal modeling and regression,Sinusoidal modeling and regression,Sinusoidal modeling and regression | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.1,/subjects/math/precalculus/trigonometric-identities-and-equations/identities-equations-and-proof-strategy/,concept.math.distinguish-identities-from-conditional-equations-and-use-valid-one-sided-transformation-strategies,"trigonometric identities, equations, and proof strategy","Identities, equations, and proof strategy","Trigonometric Identities, Equations, and Proof Strategy","Trigonometric Identities, Equations, and Proof Strategy | Better Grades",RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P10.2,/subjects/math/precalculus/trigonometric-identities-and-equations/reciprocal-quotient-and-pythagorean-identities/,concept.math.derive-and-apply-the-fundamental-trig-identities-from-unit-circle-coordinates,"reciprocal, quotient, and pythagorean identities","Reciprocal, quotient, and Pythagorean identities","Reciprocal, quotient, and Pythagorean identities","Reciprocal, quotient, and Pythagorean identities | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.3,/subjects/math/precalculus/trigonometric-identities-and-equations/verifying-identities-strategically/,concept.math.select-factoring-common-denominators-conjugates-or-sine-cosine-conversion-to-verify-identities,verifying identities strategically,Verifying identities strategically,Verifying identities strategically,Verifying identities strategically | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.4,/subjects/math/precalculus/trigonometric-identities-and-equations/sum-and-difference-formulas/,concept.math.derive-and-apply-sine-cosine-and-tangent-sum-and-difference-formulas,trigonometric sum and difference formulas,Sum and difference formulas,Trigonometric Sum and Difference Formulas,Trigonometric Sum and Difference Formulas | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P10.5,/subjects/math/precalculus/trigonometric-identities-and-equations/double-angle-formulas/,concept.math.derive-and-use-double-angle-identities-including-three-equivalent-cosine-forms,double-angle formulas,Double-angle formulas,Double-angle formulas,Double-angle formulas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.6,/subjects/math/precalculus/trigonometric-identities-and-equations/half-angle-and-power-reduction-formulas/,concept.math.derive-half-angle-and-power-reduction-identities-and-select-signs-using-quadrant-information,half-angle and power-reduction formulas,Half-angle and power-reduction formulas,Half-angle and power-reduction formulas,Half-angle and power-reduction formulas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.7,/subjects/math/precalculus/trigonometric-identities-and-equations/product-to-sum-and-sum-to-product-formulas/,concept.math.convert-products-and-sums-of-trig-functions-to-alternate-forms-and-interpret-signal-combinations,product-to-sum and sum-to-product formulas,Product-to-sum and sum-to-product formulas,Product-to-sum and sum-to-product formulas,Product-to-sum and sum-to-product formulas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.8,/subjects/math/precalculus/trigonometric-identities-and-equations/equations-using-fundamental-identities/,concept.math.solve-trig-equations-by-converting-functions-factoring-and-applying-fundamental-identities,solving trigonometric equations with fundamental identities,Equations using fundamental identities,Solving Trigonometric Equations with Fundamental Identities,Solving Trigonometric Equations with Fundamental Identities | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P10.9,/subjects/math/precalculus/trigonometric-identities-and-equations/quadratic-form-trigonometric-equations/,concept.math.use-substitution-and-algebraic-solving-for-equations-quadratic-in-a-trig-function,quadratic-form trigonometric equations,Quadratic-form trigonometric equations,Quadratic-form trigonometric equations,Quadratic-form trigonometric equations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.10,/subjects/math/precalculus/trigonometric-identities-and-equations/multiple-angle-equations/,concept.math.solve-equations-involving-sin-nx-cos-nx-or-tan-nx-and-translate-solution-families-back-to-x,multiple-angle equations,Multiple-angle equations,Multiple-angle equations,Multiple-angle equations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.11,/subjects/math/precalculus/trigonometric-identities-and-equations/general-solutions-and-interval-restrictions/,concept.math.write-complete-periodic-solution-families-and-extract-all-solutions-from-specified-intervals,general solutions and interval restrictions,General solutions and interval restrictions,General solutions and interval restrictions,General solutions and interval restrictions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P10.12,/subjects/math/precalculus/trigonometric-identities-and-equations/exact-and-numerical-trigonometric-equation-solving/,concept.math.use-graphing-bracketing-and-numerical-methods-for-trig-equations-without-convenient-exact-solutions,exact and numerical trigonometric equation solving,Exact and numerical trigonometric equation solving,Exact and numerical trigonometric equation solving,Exact and numerical trigonometric equation solving | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.1,/subjects/math/precalculus/triangle-trigonometry-and-vectors/right-triangles-and-trigonometric-ratios/,concept.math.connect-unit-circle-trig-definitions-with-ratios-in-similar-right-triangles,right triangles and trigonometric ratios,Right triangles and trigonometric ratios,Right triangles and trigonometric ratios,Right triangles and trigonometric ratios | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.2,/subjects/math/precalculus/triangle-trigonometry-and-vectors/right-triangle-applications/,concept.math.model-heights-distances-slopes-and-angles-of-elevation-or-depression,right-triangle applications,Right-triangle applications,Right-triangle applications,Right-triangle applications | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.3,/subjects/math/precalculus/triangle-trigonometry-and-vectors/the-law-of-sines/,concept.math.derive-and-apply-the-law-of-sines-to-asa-aas-and-suitable-ssa-triangles,the law of sines,The Law of Sines,The Law of Sines,The Law of Sines | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.4,/subjects/math/precalculus/triangle-trigonometry-and-vectors/the-ambiguous-ssa-case/,concept.math.determine-whether-ssa-data-produce-zero-one-or-two-triangles,the ambiguous ssa case,The ambiguous SSA case,The ambiguous SSA case,The ambiguous SSA case | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.5,/subjects/math/precalculus/triangle-trigonometry-and-vectors/the-law-of-cosines/,concept.math.use-the-law-of-cosines-for-sas-and-sss-data-and-connect-it-to-the-pythagorean-theorem,the law of cosines,The Law of Cosines,The Law of Cosines,The Law of Cosines | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.6,/subjects/math/precalculus/triangle-trigonometry-and-vectors/triangle-area-formulas/,concept.math.use-k-1-2-ab-sin-c-and-compare-with-base-height-and-heron-forms,triangle area formulas,Triangle area formulas,Triangle area formulas,Triangle area formulas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.7,/subjects/math/precalculus/triangle-trigonometry-and-vectors/bearings-and-navigation/,concept.math.translate-among-standard-angles-quadrant-bearings-headings-and-triangle-or-component-models,bearings and navigation,Bearings and navigation,Bearings and navigation,Bearings and navigation | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.8,/subjects/math/precalculus/triangle-trigonometry-and-vectors/vectors-geometrically-and-in-components/,concept.math.represent-vectors-by-magnitude-and-direction-add-them-geometrically-and-convert-to-components,vectors geometrically and in components,Vectors geometrically and in components,Vectors geometrically and in components,Vectors geometrically and in components | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.9,/subjects/math/precalculus/triangle-trigonometry-and-vectors/vector-operations-magnitude-direction-and-unit-vectors/,concept.math.use-scalar-multiplication-normalization-and-component-resolution,"vector operations, magnitude, direction, and unit vectors","Vector operations, magnitude, direction, and unit vectors","Vector operations, magnitude, direction, and unit vectors","Vector operations, magnitude, direction, and unit vectors | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P11.10,/subjects/math/precalculus/triangle-trigonometry-and-vectors/dot-product-angles-and-projection/,concept.math.use-the-dot-product-to-find-angles-test-orthogonality-and-calculate-projections,"dot product, angles, and projection","Dot product, angles, and projection","Dot product, angles, and projection","Dot product, angles, and projection | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.1,/subjects/math/precalculus/conic-sections-and-implicit-relations/conics-as-loci-and-the-circle-foundation/,concept.math.define-loci-by-distance-conditions-and-derive-the-standard-circle-equation,conic sections as loci: the circle foundation,Conics as loci and the circle foundation,Conic Sections as Loci: The Circle Foundation,Conic Sections as Loci: The Circle Foundation | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P12.2,/subjects/math/precalculus/conic-sections-and-implicit-relations/parabolas-from-focus-and-directrix/,concept.math.derive-and-analyze-parabolas-as-points-equidistant-from-a-focus-and-directrix,parabolas from focus and directrix,Parabolas from focus and directrix,Parabolas from focus and directrix,Parabolas from focus and directrix | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.3,/subjects/math/precalculus/conic-sections-and-implicit-relations/ellipses/,concept.math.analyze-ellipses-from-constant-sum-distance-and-standard-equations,ellipses,Ellipses,Ellipses,Ellipses | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.4,/subjects/math/precalculus/conic-sections-and-implicit-relations/hyperbolas/,concept.math.analyze-hyperbolas-from-constant-difference-distance-and-standard-equations,hyperbolas,Hyperbolas,Hyperbolas,Hyperbolas | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.5,/subjects/math/precalculus/conic-sections-and-implicit-relations/completing-squares-in-two-variables/,concept.math.convert-general-quadratic-relations-to-standard-conic-form-by-completing-squares,completing squares in two variables,Completing squares in two variables,Completing squares in two variables,Completing squares in two variables | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.6,/subjects/math/precalculus/conic-sections-and-implicit-relations/translated-conics-and-general-equations/,concept.math.classify-translated-conics-and-recover-all-geometric-features-from-standard-form,translated conic sections and general equations,Translated conics and general equations,Translated Conic Sections and General Equations,Translated Conic Sections and General Equations | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P12.7,/subjects/math/precalculus/conic-sections-and-implicit-relations/degenerate-conics-and-classification/,concept.math.identify-point-line-pair-of-lines-empty-set-and-other-degenerate-quadratic-relations,degenerate conics and classification,Degenerate conics and classification,Degenerate conics and classification,Degenerate conics and classification | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.8,/subjects/math/precalculus/conic-sections-and-implicit-relations/eccentricity-and-unified-conic-structure/,concept.math.use-eccentricity-to-compare-circles-ellipses-parabolas-and-hyperbolas,eccentricity and unified conic structure,Eccentricity and unified conic structure,Eccentricity and unified conic structure,Eccentricity and unified conic structure | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.9,/subjects/math/precalculus/conic-sections-and-implicit-relations/nonlinear-systems-involving-conics/,concept.math.solve-and-interpret-intersections-of-lines-circles-parabolas-ellipses-and-hyperbolas,nonlinear systems involving conics,Nonlinear systems involving conics,Nonlinear systems involving conics,Nonlinear systems involving conics | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P12.10,/subjects/math/precalculus/conic-sections-and-implicit-relations/conic-models-and-applications/,concept.math.construct-and-critique-conic-models-in-reflection-orbit-architecture-and-navigation-settings,conic models and applications,Conic models and applications,Conic models and applications,Conic models and applications | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.1,/subjects/math/precalculus/parametric-polar-and-complex-representations/parametric-equations-and-orientation/,concept.math.interpret-x-f-t-y-g-t-as-a-directed-path-with-a-parameter-interval,parametric equations and orientation,Parametric equations and orientation,Parametric equations and orientation,Parametric equations and orientation | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.2,/subjects/math/precalculus/parametric-polar-and-complex-representations/eliminating-a-parameter/,concept.math.eliminate-parameters-while-preserving-interval-restrictions-and-lost-orientation-information,eliminating a parameter,Eliminating a parameter,Eliminating a parameter,Eliminating a parameter | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.3,/subjects/math/precalculus/parametric-polar-and-complex-representations/parametric-motion-and-vector-valued-position/,concept.math.use-r-t-x-t-y-t-to-describe-position-displacement-and-average-velocity,parametric motion and vector-valued position,Parametric motion and vector-valued position,Parametric motion and vector-valued position,Parametric motion and vector-valued position | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.4,/subjects/math/precalculus/parametric-polar-and-complex-representations/intersections-repeated-points-and-multiple-parameter-values/,concept.math.distinguish-curve-intersections-from-self-intersections-and-repeated-positions,"intersections, repeated points, and multiple parameter values","Intersections, repeated points, and multiple parameter values","Intersections, repeated points, and multiple parameter values","Intersections, repeated points, and multiple parameter values | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.5,/subjects/math/precalculus/parametric-polar-and-complex-representations/polar-coordinates-and-nonuniqueness/,concept.math.represent-points-as-r-theta-use-negative-radius-and-generate-equivalent-polar-coordinates,polar coordinates and nonuniqueness,Polar coordinates and nonuniqueness,Polar coordinates and nonuniqueness,Polar coordinates and nonuniqueness | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.6,/subjects/math/precalculus/parametric-polar-and-complex-representations/cartesian-and-polar-conversion/,concept.math.convert-points-and-equations-using-x-r-cos-theta-y-r-sin-theta-and-r-2-x-2-y-2,cartesian and polar conversion,Cartesian and polar conversion,Cartesian and polar conversion,Cartesian and polar conversion | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.7,/subjects/math/precalculus/parametric-polar-and-complex-representations/graphing-polar-equations/,concept.math.trace-r-f-theta-using-tables-signed-radius-and-interval-selection,graphing polar equations,Graphing polar equations,Graphing polar equations,Graphing polar equations | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.8,/subjects/math/precalculus/parametric-polar-and-complex-representations/polar-symmetry-and-repeated-tracing/,concept.math.test-symmetry-and-choose-intervals-that-trace-a-polar-curve-exactly-once,polar symmetry and repeated tracing,Polar symmetry and repeated tracing,Polar symmetry and repeated tracing,Polar symmetry and repeated tracing | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.9,/subjects/math/precalculus/parametric-polar-and-complex-representations/common-polar-families-and-polar-conics/,concept.math.analyze-parameter-effects-in-circles-cardioids-limacons-roses-lemniscates-spirals-and-conics,common polar families and polar conics,Common polar families and polar conics,Common polar families and polar conics,Common polar families and polar conics | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.10,/subjects/math/precalculus/parametric-polar-and-complex-representations/complex-numbers-in-polar-form/,concept.math.represent-complex-numbers-by-modulus-and-argument-and-convert-between-rectangular-and-polar-forms,complex numbers in polar form,Complex numbers in polar form,Complex numbers in polar form,Complex numbers in polar form | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.11,/subjects/math/precalculus/parametric-polar-and-complex-representations/complex-multiplication-division-and-powers/,concept.math.multiply-moduli-add-arguments-divide-moduli-subtract-arguments-and-apply-de-moivres-theorem,"complex multiplication, division, and powers","Complex multiplication, division, and powers","Complex multiplication, division, and powers","Complex multiplication, division, and powers | Better Grades",KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P13.12,/subjects/math/precalculus/parametric-polar-and-complex-representations/roots-of-complex-numbers/,concept.math.find-all-nth-roots-of-a-complex-number-and-interpret-their-equal-angular-spacing,roots of complex numbers,Roots of complex numbers,Roots of complex numbers,Roots of complex numbers | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.1,/subjects/math/precalculus/sequences-series-and-discrete-models/sequences-as-discrete-functions/,concept.math.interpret-a-sequence-as-a-function-on-an-integer-index-set,sequences as discrete functions,Sequences as discrete functions,Sequences as discrete functions,Sequences as discrete functions | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
P14.2,/subjects/math/precalculus/sequences-series-and-discrete-models/explicit-and-recursive-descriptions/,concept.math.move-among-term-lists-explicit-formulas-recursive-rules-tables-and-plots,explicit vs. recursive sequence definitions,Explicit and recursive descriptions,Explicit vs. Recursive Sequence Definitions,Explicit vs. Recursive Sequence Definitions | Better Grades,RETITLE,Rendered title clarifies the mathematical topic without moving the established URL.
P14.3,/subjects/math/precalculus/sequences-series-and-discrete-models/arithmetic-sequences/,concept.math.derive-and-use-a-n-a-1-n-1-d-and-connect-arithmetic-sequences-to-sampled-linear-functions,arithmetic sequences,Arithmetic sequences,Arithmetic sequences,Arithmetic sequences | Better Grades,KEEP_STRONG,Reviewed: title already names a specific searchable mathematical lesson.
