exercise_id,lesson_id,unit,sequence,prompt,answer_guidance
P9.11-E08,P9.11,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.11-E09,P9.11,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.11-E10,P9.11,P9,10,Explain how this lesson's idea will be used later in the course.,The next lesson fits sinusoidal functions to real data and studies residuals and limitations.
P9.12-E01,P9.12,P9,1,A sinusoidal model has period 24 and minimum at t=5. Give a cosine phase that places the minimum correctly.,-cos[pi(t-5)/12] or an equivalent shifted form.
P9.12-E02,P9.12,P9,2,Fit a sinusoid from a table of maxima and minima.,"Use the method developed in the lesson: Estimate parameters from the graph or use regression, interpret units, state the evidence-supported domain, compare sine and cosine forms, and inspect residuals. Verify all conditions and state the final result in the requested representation."
P9.12-E03,P9.12,P9,3,Interpret a residual of -0.6 hour.,"Use the method developed in the lesson: Estimate parameters from the graph or use regression, interpret units, state the evidence-supported domain, compare sine and cosine forms, and inspect residuals. Verify all conditions and state the final result in the requested representation."
P9.12-E04,P9.12,P9,4,Compare strict sinusoidal and changing-amplitude models.,"Use the method developed in the lesson: Estimate parameters from the graph or use regression, interpret units, state the evidence-supported domain, compare sine and cosine forms, and inspect residuals. Verify all conditions and state the final result in the requested representation."
P9.12-E05,P9.12,P9,5,State the defining idea behind sinusoidal modeling and regression in one precise sentence.,"Sinusoidal modeling estimates a periodic relationship from observed extrema, timing, or regression."
P9.12-E06,P9.12,P9,6,What condition or domain restriction must remain visible in the solution?,Extrapolation assumes the cycle remains stable. Seasonal and biological systems may change over time.
P9.12-E07,P9.12,P9,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to fit a sinusoid merely because data rise and fall once.
P9.12-E08,P9.12,P9,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P9.12-E09,P9.12,P9,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P9.12-E10,P9.12,P9,10,Explain how this lesson's idea will be used later in the course.,The next unit develops algebraic identities and complete solution methods for more complicated trigonometric equations.
P10.1-E01,P10.1,P10,1,Why does an identity proof need a common domain?,Both expressions must be defined at every input where equality is claimed.
P10.1-E02,P10.1,P10,2,"Classify sin x=0 as equation, not identity.","Use the method developed in the lesson: Begin with the more complicated side, preserve equality through each step, name the identity or algebraic operation used, and stop when the other side appears. Do not begin by assuming the two sides are equal. Verify all conditions and state the final result in the requested representation."
P10.1-E03,P10.1,P10,3,Identify a circular proof that begins by assuming the desired equality.,"Use the method developed in the lesson: Begin with the more complicated side, preserve equality through each step, name the identity or algebraic operation used, and stop when the other side appears. Do not begin by assuming the two sides are equal. Verify all conditions and state the final result in the requested representation."
P10.1-E04,P10.1,P10,4,Verify an identity numerically without mistaking the check for proof.,"Use the method developed in the lesson: Begin with the more complicated side, preserve equality through each step, name the identity or algebraic operation used, and stop when the other side appears. Do not begin by assuming the two sides are equal. Verify all conditions and state the final result in the requested representation."
P10.1-E05,P10.1,P10,5,"State the defining idea behind identities, equations, and proof strategy in one precise sentence.",A trigonometric identity is an equation true for every input in the common domain of both sides. A conditional equation is true only for selected inputs.
P10.1-E06,P10.1,P10,6,What condition or domain restriction must remain visible in the solution?,"A proof is valid only where each written expression is defined. If the original statement has a restricted common domain, state it."
P10.1-E07,P10.1,P10,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is circular reasoning: using the identity being proved, or multiplying both sides together in a way that assumes equality."
P10.1-E08,P10.1,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.1-E09,P10.1,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.1-E10,P10.1,P10,10,Explain how this lesson's idea will be used later in the course.,"The next lesson reviews the fundamental reciprocal, quotient, and Pythagorean identities used in most proofs."
P10.2-E01,P10.2,P10,1,Simplify (sec^2 x-1)/tan x.,tan x where defined.
P10.2-E02,P10.2,P10,2,Derive cot^2 x+1=csc^2 x.,"Use the method developed in the lesson: When simplifying, choose the identity that replaces the most complicated structure. Converting everything to sine and cosine is reliable but not always shortest. Verify all conditions and state the final result in the requested representation."
P10.2-E03,P10.2,P10,3,Rewrite every function in terms of sine and cosine.,"Use the method developed in the lesson: When simplifying, choose the identity that replaces the most complicated structure. Converting everything to sine and cosine is reliable but not always shortest. Verify all conditions and state the final result in the requested representation."
P10.2-E04,P10.2,P10,4,Complete an identity table with domain exclusions.,"Use the method developed in the lesson: When simplifying, choose the identity that replaces the most complicated structure. Converting everything to sine and cosine is reliable but not always shortest. Verify all conditions and state the final result in the requested representation."
P10.2-E05,P10.2,P10,5,"State the defining idea behind reciprocal, quotient, and pythagorean identities in one precise sentence.","The fundamental identities connect the six trigonometric functions through reciprocal, quotient, and unit-circle relationships."
P10.2-E06,P10.2,P10,6,What condition or domain restriction must remain visible in the solution?,"Squared notation means (sin x)^2, not sin(x^2)."
P10.2-E07,P10.2,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to write sin^2 x+cos^2 x as (sin x+cos x)^2 or to omit the cross term when reversing.
P10.2-E08,P10.2,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.2-E09,P10.2,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.2-E10,P10.2,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson develops strategy for combining these identities with ordinary algebra.
P10.3-E01,P10.3,P10,1,Verify sin x/(1-cos x)=(1+cos x)/sin x.,Multiply by the conjugate and use sin^2 x=1-cos^2 x.
P10.3-E02,P10.3,P10,2,Verify tan x+cot x=sec x csc x.,"Use the method developed in the lesson: Before writing steps, inventory reciprocals, quotients, Pythagorean pairs, factorizations, and conjugate patterns. After each step, check that it is reversible on the stated domain. Verify all conditions and state the final result in the requested representation."
P10.3-E03,P10.3,P10,3,Verify (sec x-tan x)(sec x+tan x)=1.,"Use the method developed in the lesson: Before writing steps, inventory reciprocals, quotients, Pythagorean pairs, factorizations, and conjugate patterns. After each step, check that it is reversible on the stated domain. Verify all conditions and state the final result in the requested representation."
P10.3-E04,P10.3,P10,4,Diagnose an invalid step that cancels terms across a sum.,"Use the method developed in the lesson: Before writing steps, inventory reciprocals, quotients, Pythagorean pairs, factorizations, and conjugate patterns. After each step, check that it is reversible on the stated domain. Verify all conditions and state the final result in the requested representation."
P10.3-E05,P10.3,P10,5,State the defining idea behind verifying identities strategically in one precise sentence.,"Strategic identity verification combines trigonometric identities with factoring, common denominators, conjugates, and algebraic simplification."
P10.3-E06,P10.3,P10,6,What condition or domain restriction must remain visible in the solution?,There is rarely one unique proof. A shorter proof is not automatically better if it hides a domain restriction or unexplained step.
P10.3-E07,P10.3,P10,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is cancelling across addition, such as removing sin x from sin x+1 over sin x."
P10.3-E08,P10.3,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.3-E09,P10.3,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.3-E10,P10.3,P10,10,Explain how this lesson's idea will be used later in the course.,"The next lesson adds angle-sum formulas, expanding the collection of available equivalences."
P10.4-E01,P10.4,P10,1,Find sin 15 degrees exactly.,(sqrt(6)-sqrt(2))/4.
P10.4-E02,P10.4,P10,2,Derive cos(alpha-beta) from a rotation or distance argument.,"Use the method developed in the lesson: Choose angles with known exact values, apply the correct formula with parentheses, simplify radicals, and use quadrant reasoning to check the sign. Verify all conditions and state the final result in the requested representation."
P10.4-E03,P10.4,P10,3,Find sin 75 degrees exactly.,"Use the method developed in the lesson: Choose angles with known exact values, apply the correct formula with parentheses, simplify radicals, and use quadrant reasoning to check the sign. Verify all conditions and state the final result in the requested representation."
P10.4-E04,P10.4,P10,4,Use a sum formula to combine A sin x+B cos x.,"Use the method developed in the lesson: Choose angles with known exact values, apply the correct formula with parentheses, simplify radicals, and use quadrant reasoning to check the sign. Verify all conditions and state the final result in the requested representation."
P10.4-E05,P10.4,P10,5,State the defining idea behind sum and difference formulas in one precise sentence.,Sum and difference formulas express trig values of combined angles in terms of the separate angles.
P10.4-E06,P10.4,P10,6,What condition or domain restriction must remain visible in the solution?,Tangent sum formulas require denominators to be nonzero and should be used only where all expressions are defined.
P10.4-E07,P10.4,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is writing sin(a+b)=sin a+sin b or losing the negative sign in cosine’s formula.
P10.4-E08,P10.4,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.4-E09,P10.4,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.4-E10,P10.4,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson specializes the formulas to equal angles.
P10.5-E01,P10.5,P10,1,Rewrite cos 2x entirely in terms of sin x.,1-2sin^2 x.
P10.5-E02,P10.5,P10,2,Derive sin 2x from the sum formula.,"Use the method developed in the lesson: Determine the quadrant of x and 2x when signs matter, select the form matching known data, and preserve exact values. Verify all conditions and state the final result in the requested representation."
P10.5-E03,P10.5,P10,3,Compare 1-2sin^2 x and 2cos^2 x-1.,"Use the method developed in the lesson: Determine the quadrant of x and 2x when signs matter, select the form matching known data, and preserve exact values. Verify all conditions and state the final result in the requested representation."
P10.5-E04,P10.5,P10,4,Solve a geometry problem using cos 2theta.,"Use the method developed in the lesson: Determine the quadrant of x and 2x when signs matter, select the form matching known data, and preserve exact values. Verify all conditions and state the final result in the requested representation."
P10.5-E05,P10.5,P10,5,State the defining idea behind double-angle formulas in one precise sentence.,Double-angle formulas describe trig values at 2x using values at x.
P10.5-E06,P10.5,P10,6,What condition or domain restriction must remain visible in the solution?,Knowing sin x alone may not determine cos x without quadrant information.
P10.5-E07,P10.5,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to interpret sin2x as 2sin x or to square the angle instead of the function value.
P10.5-E08,P10.5,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.5-E09,P10.5,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.5-E10,P10.5,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson reverses double-angle relationships to obtain half-angle and power-reduction formulas.
P10.6-E01,P10.6,P10,1,Find cos(pi/8) exactly.,sqrt(2+sqrt(2))/2.
P10.6-E02,P10.6,P10,2,Derive sin^2 x=(1-cos 2x)/2.,"Use the method developed in the lesson: Locate the half-angle before selecting a sign, substitute the known full-angle value, simplify the nested radical, and check the result against the expected range. Verify all conditions and state the final result in the requested representation."
P10.6-E03,P10.6,P10,3,Evaluate cos 22.5 degrees exactly.,"Use the method developed in the lesson: Locate the half-angle before selecting a sign, substitute the known full-angle value, simplify the nested radical, and check the result against the expected range. Verify all conditions and state the final result in the requested representation."
P10.6-E04,P10.6,P10,4,Explain why half-angle square roots need sign selection.,"Use the method developed in the lesson: Locate the half-angle before selecting a sign, substitute the known full-angle value, simplify the nested radical, and check the result against the expected range. Verify all conditions and state the final result in the requested representation."
P10.6-E05,P10.6,P10,5,State the defining idea behind half-angle and power-reduction formulas in one precise sentence.,Half-angle formulas recover trig values of x/2 from values at x. Power-reduction formulas rewrite squared trig functions using first powers of cosine at double angle.
P10.6-E06,P10.6,P10,6,What condition or domain restriction must remain visible in the solution?,A full-angle quadrant does not automatically determine the half-angle quadrant without considering the specified interval for x.
P10.6-E07,P10.6,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to attach both plus and minus signs to a function value even though the angle’s quadrant selects one.
P10.6-E08,P10.6,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.6-E09,P10.6,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.6-E10,P10.6,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson converts products into sums and sums into products.
P10.7-E01,P10.7,P10,1,Rewrite sin 8x-sin 2x as a product.,2cos 5x sin 3x.
P10.7-E02,P10.7,P10,2,Rewrite sin 5x sin 2x as a sum.,"Use the method developed in the lesson: Identify the formula family, track the average and half-difference carefully, and verify with a simple angle or graph. Verify all conditions and state the final result in the requested representation."
P10.7-E03,P10.7,P10,3,Derive one product-to-sum identity from angle-sum formulas.,"Use the method developed in the lesson: Identify the formula family, track the average and half-difference carefully, and verify with a simple angle or graph. Verify all conditions and state the final result in the requested representation."
P10.7-E04,P10.7,P10,4,Interpret beats from two nearby frequencies.,"Use the method developed in the lesson: Identify the formula family, track the average and half-difference carefully, and verify with a simple angle or graph. Verify all conditions and state the final result in the requested representation."
P10.7-E05,P10.7,P10,5,State the defining idea behind product-to-sum and sum-to-product formulas in one precise sentence.,Product-to-sum and sum-to-product identities translate between multiplicative and additive combinations of trig functions.
P10.7-E06,P10.7,P10,6,What condition or domain restriction must remain visible in the solution?,These identities are lower-frequency tools and should be used when they simplify a real task rather than because a problem heading demands them.
P10.7-E07,P10.7,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to omit the factor of 2 or to use full differences instead of half-differences.
P10.7-E08,P10.7,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.7-E09,P10.7,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.7-E10,P10.7,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson uses fundamental identities directly inside equations.
P10.8-E01,P10.8,P10,1,"Solve 1-cos^2 x=0 on [0,2pi).","x=0,pi,2pi."
P10.8-E02,P10.8,P10,2,Solve tan x=sin x.,"Use the method developed in the lesson: Record domain restrictions first, convert functions deliberately, factor, solve each factor, and check any values that make an original reciprocal undefined. Verify all conditions and state the final result in the requested representation."
P10.8-E03,P10.8,P10,3,Solve csc x-sin x=0.,"Use the method developed in the lesson: Record domain restrictions first, convert functions deliberately, factor, solve each factor, and check any values that make an original reciprocal undefined. Verify all conditions and state the final result in the requested representation."
P10.8-E04,P10.8,P10,4,Solve 2sin^2 x+cos x-1=0.,"Use the method developed in the lesson: Record domain restrictions first, convert functions deliberately, factor, solve each factor, and check any values that make an original reciprocal undefined. Verify all conditions and state the final result in the requested representation."
P10.8-E05,P10.8,P10,5,State the defining idea behind equations using fundamental identities in one precise sentence.,Identity-based trig equations are solved by rewriting all terms into compatible functions and then applying ordinary algebra.
P10.8-E06,P10.8,P10,6,What condition or domain restriction must remain visible in the solution?,"Multiplying by a trig expression can create candidates at its zeros, just as clearing denominators does in rational equations."
P10.8-E07,P10.8,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to divide by sin x or cos x and lose the solutions where that divisor is zero.
P10.8-E08,P10.8,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.8-E09,P10.8,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.8-E10,P10.8,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson treats equations that are quadratic in one trig function.
P10.9-E01,P10.9,P10,1,"Solve 2cos^2 x+cos x-1=0 on [0,2pi).","x=0,2pi/3,4pi/3,2pi if endpoints included."
P10.9-E02,P10.9,P10,2,Solve a cosine quadratic with one impossible algebraic root.,"Use the method developed in the lesson: Move all terms to one side, substitute, factor or use the quadratic formula, reject impossible function values, then solve every remaining basic trig equation. Verify all conditions and state the final result in the requested representation."
P10.9-E03,P10.9,P10,3,Use the quadratic formula for tan x.,"Use the method developed in the lesson: Move all terms to one side, substitute, factor or use the quadratic formula, reject impossible function values, then solve every remaining basic trig equation. Verify all conditions and state the final result in the requested representation."
P10.9-E04,P10.9,P10,4,Factor an equation in sec x and apply domain restrictions.,"Use the method developed in the lesson: Move all terms to one side, substitute, factor or use the quadratic formula, reject impossible function values, then solve every remaining basic trig equation. Verify all conditions and state the final result in the requested representation."
P10.9-E05,P10.9,P10,5,State the defining idea behind quadratic-form trigonometric equations in one precise sentence.,"A quadratic-form trig equation becomes an ordinary quadratic after substituting u=sin x, cos x, tan x, or another single trig expression."
P10.9-E06,P10.9,P10,6,What condition or domain restriction must remain visible in the solution?,The requested interval controls which branches and endpoints are included.
P10.9-E07,P10.9,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to accept an algebraic root such as sin x=2 or to stop after finding the value of sin x rather than the angles.
P10.9-E08,P10.9,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.9-E09,P10.9,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.9-E10,P10.9,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson handles equations in multiple angles such as sin(3x).
P10.10-E01,P10.10,P10,1,"Solve cos(2x)=0 on [0,2pi).","x=pi/4,3pi/4,5pi/4,7pi/4."
P10.10-E02,P10.10,P10,2,Solve cos(2x)=-1.,"Use the method developed in the lesson: Rename u=nx if helpful, solve in the correctly expanded interval, divide, and remove duplicates. Verify all conditions and state the final result in the requested representation."
P10.10-E03,P10.10,P10,3,Solve tan(4x)=1.,"Use the method developed in the lesson: Rename u=nx if helpful, solve in the correctly expanded interval, divide, and remove duplicates. Verify all conditions and state the final result in the requested representation."
P10.10-E04,P10.10,P10,4,Explain why dividing only the principal angle misses solutions.,"Use the method developed in the lesson: Rename u=nx if helpful, solve in the correctly expanded interval, divide, and remove duplicates. Verify all conditions and state the final result in the requested representation."
P10.10-E05,P10.10,P10,5,State the defining idea behind multiple-angle equations in one precise sentence.,A multiple-angle equation treats nx as the temporary angle variable.
P10.10-E06,P10.10,P10,6,What condition or domain restriction must remain visible in the solution?,"If n is negative, division reverses interval order but does not change the underlying solution set after it is rewritten consistently."
P10.10-E07,P10.10,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to divide only the principal inverse angle and lose the other branches and periods.
P10.10-E08,P10.10,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.10-E09,P10.10,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.10-E10,P10.10,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson systematizes complete periodic solution notation.
P10.11-E01,P10.11,P10,1,Write all solutions to tan x=-sqrt(3).,x=-pi/3+kpi.
P10.11-E02,P10.11,P10,2,Compare sine's two branches with tangent's one family per period.,"Use the method developed in the lesson: Write the general families first, state k is an integer, then enumerate only the values in the requested interval. Verify all conditions and state the final result in the requested representation."
P10.11-E03,P10.11,P10,3,Convert degree general solutions to radians.,"Use the method developed in the lesson: Write the general families first, state k is an integer, then enumerate only the values in the requested interval. Verify all conditions and state the final result in the requested representation."
P10.11-E04,P10.11,P10,4,Handle closed endpoints without duplicates.,"Use the method developed in the lesson: Write the general families first, state k is an integer, then enumerate only the values in the requested interval. Verify all conditions and state the final result in the requested representation."
P10.11-E05,P10.11,P10,5,State the defining idea behind general solutions and interval restrictions in one precise sentence.,General solutions use an integer parameter to represent infinitely many periodic angle values.
P10.11-E06,P10.11,P10,6,What condition or domain restriction must remain visible in the solution?,A finite interval answer and a general solution answer are different deliverables and should not be mixed.
P10.11-E07,P10.11,P10,7,Describe the most likely incorrect first step and explain why it fails.,"A common error is to list a pattern with ellipses but no formula, or to omit one sine/cosine branch."
P10.11-E08,P10.11,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.11-E09,P10.11,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.11-E10,P10.11,P10,10,Explain how this lesson's idea will be used later in the course.,The next lesson addresses equations whose roots are not convenient special angles.
P10.12-E01,P10.12,P10,1,What evidence should accompany a reported root x≈0.739085 of cos x=x?,A stated interval or numerical method and a small residual cos x-x.
P10.12-E02,P10.12,P10,2,Bracket a root of cos x=x.,"Use the method developed in the lesson: Graph the difference function, bracket each visible root, refine to the requested precision, and check that no roots are missed by the interval or graph window. Verify all conditions and state the final result in the requested representation."
P10.12-E03,P10.12,P10,3,Compare Newton-style iteration with bisection conceptually.,"Use the method developed in the lesson: Graph the difference function, bracket each visible root, refine to the requested precision, and check that no roots are missed by the interval or graph window. Verify all conditions and state the final result in the requested representation."
P10.12-E04,P10.12,P10,4,Diagnose degree-mode versus radian-mode failure.,"Use the method developed in the lesson: Graph the difference function, bracket each visible root, refine to the requested precision, and check that no roots are missed by the interval or graph window. Verify all conditions and state the final result in the requested representation."
P10.12-E05,P10.12,P10,5,State the defining idea behind exact and numerical trigonometric equation solving in one precise sentence.,Most realistic trigonometric equations require numerical approximation rather than exact unit-circle values.
P10.12-E06,P10.12,P10,6,What condition or domain restriction must remain visible in the solution?,"Tangencies may produce roots without sign changes, so graph shape or local minimization must supplement bisection."
P10.12-E07,P10.12,P10,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to report only the first calculator intersection or to work in degree mode while the equation uses radian input.
P10.12-E08,P10.12,P10,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P10.12-E09,P10.12,P10,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P10.12-E10,P10.12,P10,10,Explain how this lesson's idea will be used later in the course.,The next unit applies trigonometry to triangles and vectors.
P11.1-E01,P11.1,P11,1,A right triangle has legs 5 and 12. Find all six trig ratios for the angle opposite side 5.,"sin=5/13, cos=12/13, tan=5/12 and reciprocals."
P11.1-E02,P11.1,P11,2,Derive sine ratio from scaled unit-circle coordinates.,"Use the method developed in the lesson: Draw and label the triangle relative to the chosen angle, select the ratio containing the known and unknown quantities, solve algebraically, and check that the side ordering matches the angle sizes. Verify all conditions and state the final result in the requested representation."
P11.1-E03,P11.1,P11,3,Solve a triangle from one acute angle and one side.,"Use the method developed in the lesson: Draw and label the triangle relative to the chosen angle, select the ratio containing the known and unknown quantities, solve algebraically, and check that the side ordering matches the angle sizes. Verify all conditions and state the final result in the requested representation."
P11.1-E04,P11.1,P11,4,Explain why trig ratios are size-invariant.,"Use the method developed in the lesson: Draw and label the triangle relative to the chosen angle, select the ratio containing the known and unknown quantities, solve algebraically, and check that the side ordering matches the angle sizes. Verify all conditions and state the final result in the requested representation."
P11.1-E05,P11.1,P11,5,State the defining idea behind right triangles and trigonometric ratios in one precise sentence.,Right-triangle trigonometry expresses side ratios as functions of an acute angle.
P11.1-E06,P11.1,P11,6,What condition or domain restriction must remain visible in the solution?,Inverse trig functions return acute angles in right-triangle contexts. Measurement data usually require decimal approximations and units.
P11.1-E07,P11.1,P11,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to label opposite and adjacent globally rather than relative to the chosen acute angle.
P11.1-E08,P11.1,P11,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P11.1-E09,P11.1,P11,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P11.1-E10,P11.1,P11,10,Explain how this lesson's idea will be used later in the course.,"The next lesson builds full contextual models from elevation, depression, and indirect measurement."
P11.2-E01,P11.2,P11,1,A 20-meter cable makes a 58-degree angle with level ground. Find vertical rise.,20sin58 degrees≈16.96 meters.
P11.2-E02,P11.2,P11,2,Solve a depression-angle problem from a cliff.,"Use the method developed in the lesson: Define the target quantity, draw a scale-independent diagram, label measured versus calculated values, select a trig ratio, solve, and interpret precision. Verify all conditions and state the final result in the requested representation."
P11.2-E03,P11.2,P11,3,Determine ramp length from rise and code angle.,"Use the method developed in the lesson: Define the target quantity, draw a scale-independent diagram, label measured versus calculated values, select a trig ratio, solve, and interpret precision. Verify all conditions and state the final result in the requested representation."
P11.2-E04,P11.2,P11,4,Assess sensitivity to a one-degree measurement error.,"Use the method developed in the lesson: Define the target quantity, draw a scale-independent diagram, label measured versus calculated values, select a trig ratio, solve, and interpret precision. Verify all conditions and state the final result in the requested representation."
P11.2-E05,P11.2,P11,5,State the defining idea behind right-triangle applications in one precise sentence.,Right-triangle applications convert a physical situation into a geometric model before any trigonometric calculation.
P11.2-E06,P11.2,P11,6,What condition or domain restriction must remain visible in the solution?,"The model commonly assumes straight sight lines, level ground, and accurate angle measurement. Small angle errors can cause large height errors at long distances."
P11.2-E07,P11.2,P11,7,Describe the most likely incorrect first step and explain why it fails.,A common error is to use the full building height as the triangle’s opposite side when the instrument is above ground.
P11.2-E08,P11.2,P11,8,"Translate the main result into a second representation: graph, diagram, table, equation, or context.","The second representation must preserve the same inputs, outputs, restrictions, orientation, and units as the original result."
P11.2-E09,P11.2,P11,9,Write one exact conclusion and one corresponding numerical approximation or verbal interpretation.,"Retain the exact symbolic form first; round only when the context requires a numerical comparison, and state the precision."
P11.2-E10,P11.2,P11,10,Explain how this lesson's idea will be used later in the course.,The next lesson solves non-right triangles when an opposite side-angle pair is available.
P11.3-E01,P11.3,P11,1,When is the Law of Sines directly useful without ambiguity?,When an opposite side-angle pair is known and the remaining information is ASA or AAS.
P11.3-E02,P11.3,P11,2,Derive a/sin A=2R using an altitude or circumcircle.,"Use the method developed in the lesson: Match every side with its opposite angle, compute the missing angle sum if appropriate, and delay rounding until the end. Verify all conditions and state the final result in the requested representation."
P11.3-E03,P11.3,P11,3,Solve an AAS triangle.,"Use the method developed in the lesson: Match every side with its opposite angle, compute the missing angle sum if appropriate, and delay rounding until the end. Verify all conditions and state the final result in the requested representation."
P11.3-E04,P11.3,P11,4,Recognize when SSA may require ambiguity analysis.,"Use the method developed in the lesson: Match every side with its opposite angle, compute the missing angle sum if appropriate, and delay rounding until the end. Verify all conditions and state the final result in the requested representation."
P11.3-E05,P11.3,P11,5,State the defining idea behind the law of sines in one precise sentence.,The Law of Sines states that side lengths are proportional to the sines of their opposite angles.
P11.3-E06,P11.3,P11,6,What condition or domain restriction must remain visible in the solution?,No triangle exists if the angle sum or side ordering is impossible. Larger sides must face larger angles.
P11.3-E07,P11.3,P11,7,Describe the most likely incorrect first step and explain why it fails.,A common error is pairing a side with an adjacent rather than opposite angle.
