visual_id,lesson_id,unit,sequence,roadmap_brief,mathematical_mechanism
P13.3-V3,P13.3,P13,3,Time-stamped coordinate table.,"Component changes can be interpreted separately, but the vector preserves direction and combined magnitude."
P13.4-V1,P13.4,P13,1,Self-intersection tracer.,"Finding repeated points requires solving x(t1)=x(t2) and y(t1)=y(t2), or solving the coordinate equations for all parameter values that produce a given point."
P13.4-V2,P13.4,P13,2,Two moving curves with time labels.,"Finding repeated points requires solving x(t1)=x(t2) and y(t1)=y(t2), or solving the coordinate equations for all parameter values that produce a given point."
P13.4-V3,P13.4,P13,3,Repeated parameter-to-point mapping.,"Finding repeated points requires solving x(t1)=x(t2) and y(t1)=y(t2), or solving the coordinate equations for all parameter values that produce a given point."
P13.5-V1,P13.5,P13,1,Polar ray and signed radius.,Polar coordinates are therefore nonunique. The same point has infinitely many representations.
P13.5-V2,P13.5,P13,2,Multiple coordinate labels on one point.,Polar coordinates are therefore nonunique. The same point has infinitely many representations.
P13.5-V3,P13.5,P13,3,Cartesian-polar overlay.,Polar coordinates are therefore nonunique. The same point has infinitely many representations.
P13.6-V1,P13.6,P13,1,Conversion triangle.,"For points, compute r as nonnegative distance and choose theta with the correct quadrant. For equations, substitute identities and simplify without dividing by a variable unless its zero case is handled."
P13.6-V2,P13.6,P13,2,Quadrant-aware angle selection.,"For points, compute r as nonnegative distance and choose theta with the correct quadrant. For equations, substitute identities and simplify without dividing by a variable unless its zero case is handled."
P13.6-V3,P13.6,P13,3,Equation conversion map.,"For points, compute r as nonnegative distance and choose theta with the correct quadrant. For equations, substitute identities and simplify without dividing by a variable unless its zero case is handled."
P13.7-V1,P13.7,P13,1,Polar table linked to plot.,"Key angles, zeros, maxima, minima, and symmetry provide the skeleton of the curve. Arrows indicate tracing order."
P13.7-V2,P13.7,P13,2,Signed-radius animation.,"Key angles, zeros, maxima, minima, and symmetry provide the skeleton of the curve. Arrows indicate tracing order."
P13.7-V3,P13.7,P13,3,One-cycle tracing arrows.,"Key angles, zeros, maxima, minima, and symmetry provide the skeleton of the curve. Arrows indicate tracing order."
P13.8-V1,P13.8,P13,1,Symmetry substitution checklist.,"Because polar representations are nonunique, an equation can be symmetric even when a substituted form does not simplify literally to the original."
P13.8-V2,P13.8,P13,2,Repeated-trace overlay.,"Because polar representations are nonunique, an equation can be symmetric even when a substituted form does not simplify literally to the original."
P13.8-V3,P13.8,P13,3,Minimal-interval number line.,"Because polar representations are nonunique, an equation can be symmetric even when a substituted form does not simplify literally to the original."
P13.9-V1,P13.9,P13,1,Parameter-family gallery.,Polar conics with a focus at the pole can be written using eccentricity and a directrix parameter.
P13.9-V2,P13.9,P13,2,Rose petal count mechanism.,Polar conics with a focus at the pole can be written using eccentricity and a directrix parameter.
P13.9-V3,P13.9,P13,3,Polar conic focus-directrix diagram.,Polar conics with a focus at the pole can be written using eccentricity and a directrix parameter.
P13.10-V1,P13.10,P13,1,Complex plane with modulus and argument.,"Rectangular form is best for addition, while polar form reveals multiplication, division, powers, and roots."
P13.10-V2,P13.10,P13,2,Rectangular-polar conversion triangle.,"Rectangular form is best for addition, while polar form reveals multiplication, division, powers, and roots."
P13.10-V3,P13.10,P13,3,Conjugate reflection across real axis.,"Rectangular form is best for addition, while polar form reveals multiplication, division, powers, and roots."
P13.11-V1,P13.11,P13,1,Complex multiplication as rotation and dilation.,De Moivre’s theorem raises the modulus to a power and multiplies the argument by that power.
P13.11-V2,P13.11,P13,2,Argument addition on the complex plane.,De Moivre’s theorem raises the modulus to a power and multiplies the argument by that power.
P13.11-V3,P13.11,P13,3,De Moivre power polygon.,De Moivre’s theorem raises the modulus to a power and multiplies the argument by that power.
P13.12-V1,P13.12,P13,1,Root circle with equally spaced points.,The 2pi k term is essential because the same target number has infinitely many arguments before division by n.
P13.12-V2,P13.12,P13,2,Argument-division and 2pi k mechanism.,The 2pi k term is essential because the same target number has infinitely many arguments before division by n.
P13.12-V3,P13.12,P13,3,Root verification by De Moivre.,The 2pi k term is essential because the same target number has infinitely many arguments before division by n.
P14.1-V1,P14.1,P14,1,Discrete stem plot.,"A formula, table, recurrence, graph, or verbal process may describe the same sequence."
P14.1-V2,P14.1,P14,2,Index-value mapping.,"A formula, table, recurrence, graph, or verbal process may describe the same sequence."
P14.1-V3,P14.1,P14,3,Connected-curve error panel.,"A formula, table, recurrence, graph, or verbal process may describe the same sequence."
P14.2-V1,P14.2,P14,1,Explicit-recursive conversion flow.,An initial condition is essential because the same recurrence can generate infinitely many sequences from different starting values.
P14.2-V2,P14.2,P14,2,Recurrence iteration tree.,An initial condition is essential because the same recurrence can generate infinitely many sequences from different starting values.
P14.2-V3,P14.2,P14,3,Same sequence in four representations.,An initial condition is essential because the same recurrence can generate infinitely many sequences from different starting values.
P14.3-V1,P14.3,P14,1,Equal-spacing number-line terms.,"Differences, slope, and term index are different representations of the same additive structure."
P14.3-V2,P14.3,P14,2,Sampled linear graph.,"Differences, slope, and term index are different representations of the same additive structure."
P14.3-V3,P14.3,P14,3,Index-offset n-1 derivation.,"Differences, slope, and term index are different representations of the same additive structure."
P14.4-V1,P14.4,P14,1,Multiplicative term bars.,"Ratios may be positive, negative, fractional, or greater than one, creating growth, decay, or alternating signs."
P14.4-V2,P14.4,P14,2,Sampled exponential graph.,"Ratios may be positive, negative, fractional, or greater than one, creating growth, decay, or alternating signs."
P14.4-V3,P14.4,P14,3,Alternating-sign geometric sequence.,"Ratios may be positive, negative, fractional, or greater than one, creating growth, decay, or alternating signs."
P14.5-V1,P14.5,P14,1,Cobweb-style iteration diagram.,"Some recurrences converge, diverge, oscillate, or enter cycles. The term graph and a cobweb diagram reveal different aspects of the process."
P14.5-V2,P14.5,P14,2,Term plot approaching a fixed point.,"Some recurrences converge, diverge, oscillate, or enter cycles. The term graph and a cobweb diagram reveal different aspects of the process."
P14.5-V3,P14.5,P14,3,Stable versus unstable recurrence comparison.,"Some recurrences converge, diverge, oscillate, or enter cycles. The term graph and a cobweb diagram reveal different aspects of the process."
P14.6-V1,P14.6,P14,1,Sigma anatomy diagram.,Inclusive integer bounds produce upper-lower+1 terms. Index shifts can align a sum with a known formula or sequence.
P14.6-V2,P14.6,P14,2,Index-shift alignment.,Inclusive integer bounds produce upper-lower+1 terms. Index shifts can align a sum with a known formula or sequence.
P14.6-V3,P14.6,P14,3,Term-count number line.,Inclusive integer bounds produce upper-lower+1 terms. Index shifts can align a sum with a known formula or sequence.
P14.7-V1,P14.7,P14,1,Forward-reverse pairing.,"The formula is also n times the average of the endpoints, which matches the average value of a linear sequence."
P14.7-V2,P14.7,P14,2,Constant pair-sum rectangles.,"The formula is also n times the average of the endpoints, which matches the average value of a linear sequence."
P14.7-V3,P14.7,P14,3,Arithmetic sequence and accumulated-sum graph.,"The formula is also n times the average of the endpoints, which matches the average value of a linear sequence."
P14.8-V1,P14.8,P14,1,Shift-and-subtract derivation.,The alternative form a_1(r^n-1)/(r-1) is algebraically equivalent and may avoid nested negatives when r>1.
P14.8-V2,P14.8,P14,2,Geometric block bars.,The alternative form a_1(r^n-1)/(r-1) is algebraically equivalent and may avoid nested negatives when r>1.
P14.8-V3,P14.8,P14,3,Term versus partial-sum plots.,The alternative form a_1(r^n-1)/(r-1) is algebraically equivalent and may avoid nested negatives when r>1.
P14.9-V1,P14.9,P14,1,Term bars and partial-sum line.,"The term sequence and partial-sum sequence are different objects. Terms may approach zero without guaranteeing convergence for a general series, though the geometric case is completely classified by r."
P14.9-V2,P14.9,P14,2,Convergent-limit asymptote.,"The term sequence and partial-sum sequence are different objects. Terms may approach zero without guaranteeing convergence for a general series, though the geometric case is completely classified by r."
P14.9-V3,P14.9,P14,3,"Positive, negative, and divergent ratio comparison.","The term sequence and partial-sum sequence are different objects. Terms may approach zero without guaranteeing convergence for a general series, though the geometric case is completely classified by r."
P14.10-V1,P14.10,P14,1,Domino-chain logic.,The method does not verify examples one by one; it proves a mechanism that carries truth forward indefinitely.
P14.10-V2,P14.10,P14,2,Base-hypothesis-step template.,The method does not verify examples one by one; it proves a mechanism that carries truth forward indefinitely.
P14.10-V3,P14.10,P14,3,Invalid circular induction comparison.,The method does not verify examples one by one; it proves a mechanism that carries truth forward indefinitely.
P14.11-V1,P14.11,P14,1,Pascal triangle construction.,"Symmetry C(n,k)=C(n,n-k) follows from choosing a subset or choosing its complement."
P14.11-V2,P14.11,P14,2,Combination-selection interpretation.,"Symmetry C(n,k)=C(n,n-k) follows from choosing a subset or choosing its complement."
P14.11-V3,P14.11,P14,3,Row-to-binomial coefficient mapping.,"Symmetry C(n,k)=C(n,n-k) follows from choosing a subset or choosing its complement."
P14.12-V1,P14.12,P14,1,Binomial term anatomy.,A specified term can be found directly without expanding the entire polynomial.
P14.12-V2,P14.12,P14,2,Coefficient-power balance diagram.,A specified term can be found directly without expanding the entire polynomial.
P14.12-V3,P14.12,P14,3,Discrete model classification map.,A specified term can be found directly without expanding the entire polynomial.
P15.1-V1,P15.1,P15,1,Cross-family feature matrix.,"A formula may combine families, and a graph may be piecewise, parametric, polar, or discrete rather than one ordinary elementary function."
P15.1-V2,P15.1,P15,2,Unknown graph evidence board.,"A formula may combine families, and a graph may be piecewise, parametric, polar, or discrete rather than one ordinary elementary function."
P15.1-V3,P15.1,P15,3,Competing-family elimination tree.,"A formula may combine families, and a graph may be piecewise, parametric, polar, or discrete rather than one ordinary elementary function."
P15.2-V1,P15.2,P15,1,Competing fits and extrapolation.,Two models can fit the observed interval similarly while producing radically different extrapolations.
P15.2-V2,P15.2,P15,2,Residual-pattern comparison.,Two models can fit the observed interval similarly while producing radically different extrapolations.
P15.2-V3,P15.2,P15,3,Parameter plausibility checklist.,Two models can fit the observed interval similarly while producing radically different extrapolations.
P15.3-V1,P15.3,P15,1,Secants across multiple families.,"Units are output units per input unit, and the secant line gives the graphical interpretation."
P15.3-V2,P15.3,P15,2,Rate units ladder.,"Units are output units per input unit, and the secant line gives the graphical interpretation."
P15.3-V3,P15.3,P15,3,"Same average, different interior paths.","Units are output units per input unit, and the secant line gives the graphical interpretation."
P15.4-V1,P15.4,P15,1,Two-point secant geometry.,Polynomial quotients use expansion and factoring; rational quotients use common denominators; radical quotients often use conjugates.
P15.4-V2,P15.4,P15,2,Algebraic cancellation mechanism.,Polynomial quotients use expansion and factoring; rational quotients use common denominators; radical quotients often use conjugates.
P15.4-V3,P15.4,P15,3,h approaching zero without equaling zero.,Polynomial quotients use expansion and factoring; rational quotients use common denominators; radical quotients often use conjugates.
P15.5-V1,P15.5,P15,1,Dynamic secant approaching tangent.,"Left and right approaches can disagree at corners, while slopes can grow without bound near vertical tangents."
P15.5-V2,P15.5,P15,2,Left/right slope table.,"Left and right approaches can disagree at corners, while slopes can grow without bound near vertical tangents."
P15.5-V3,P15.5,P15,3,Corner and vertical tangent comparison.,"Left and right approaches can disagree at corners, while slopes can grow without bound near vertical tangents."
P15.6-V1,P15.6,P15,1,Progressive graph zoom.,"Corners, cusps, discontinuities, and violent oscillation can defeat a single local line."
P15.6-V2,P15.6,P15,2,Function and local line overlay.,"Corners, cusps, discontinuities, and violent oscillation can defeat a single local line."
P15.6-V3,P15.6,P15,3,Smooth versus corner/cusp/discontinuity gallery.,"Corners, cusps, discontinuities, and violent oscillation can defeat a single local line."
P15.7-V1,P15.7,P15,1,Approach arrows toward a hole.,"Factoring and cancellation can reveal the behavior near a removable hole, while conjugates or common denominators can remove other indeterminate forms."
P15.7-V2,P15.7,P15,2,One-sided jump comparison.,"Factoring and cancellation can reveal the behavior near a removable hole, while conjugates or common denominators can remove other indeterminate forms."
P15.7-V3,P15.7,P15,3,Table values approaching a target.,"Factoring and cancellation can reveal the behavior near a removable hole, while conjugates or common denominators can remove other indeterminate forms."
P15.8-V1,P15.8,P15,1,Continuity three-condition checklist.,"At domain endpoints, one-sided continuity is the relevant concept."
P15.8-V2,P15.8,P15,2,Discontinuity gallery.,"At domain endpoints, one-sided continuity is the relevant concept."
P15.8-V3,P15.8,P15,3,Piecewise boundary repair.,"At domain endpoints, one-sided continuity is the relevant concept."
P15.9-V1,P15.9,P15,1,Cross-family end-behavior chart.,Vertical asymptotes concern input approaching a finite excluded value; horizontal or polynomial asymptotes concern large input behavior.
P15.9-V2,P15.9,P15,2,Vertical versus horizontal approach.,Vertical asymptotes concern input approaching a finite excluded value; horizontal or polynomial asymptotes concern large input behavior.
P15.9-V3,P15.9,P15,3,Oscillation-without-limit panel.,Vertical asymptotes concern input approaching a finite excluded value; horizontal or polynomial asymptotes concern large input behavior.
P15.10-V1,P15.10,P15,1,Bisection interval tree.,"Sensitivity asks how input, parameter, or rounding changes affect the output. Some models amplify small errors dramatically."
P15.10-V2,P15.10,P15,2,Parameter sensitivity curves.,"Sensitivity asks how input, parameter, or rounding changes affect the output. Some models amplify small errors dramatically."
P15.10-V3,P15.10,P15,3,Rounding-error accumulation table.,"Sensitivity asks how input, parameter, or rounding changes affect the output. Some models amplify small errors dramatically."
P15.11-V1,P15.11,P15,1,Rate graph with rectangles.,"Narrower intervals can improve an estimate when the rate varies, motivating the limiting process behind the definite integral."
P15.11-V2,P15.11,P15,2,Signed area and net change.,"Narrower intervals can improve an estimate when the rate varies, motivating the limiting process behind the definite integral."
P15.11-V3,P15.11,P15,3,Refinement with narrower intervals.,"Narrower intervals can improve an estimate when the rate varies, motivating the limiting process behind the definite integral."
P15.12-V1,P15.12,P15,1,Course concept dependency map.,"A complete analysis includes classification, domain, representations, exact and numerical methods, validation, interpretation, and limitations."
P15.12-V2,P15.12,P15,2,Multirepresentation data dashboard.,"A complete analysis includes classification, domain, representations, exact and numerical methods, validation, interpretation, and limitations."
P15.12-V3,P15.12,P15,3,Method-selection and verification checklist.,"A complete analysis includes classification, domain, representations, exact and numerical methods, validation, interpretation, and limitations."
