figure_id,lesson_id,unit,figure_role,description,interactivity_default,alt_text_requirement,canonical_lesson_path,renderer_requirement,interaction_required,required_capabilities,static_fallback,accessibility_contract,print_contract,asset_budget,authoring_rule
A0.1-V1,A0.1,A0,Anchor,Draggable number line with direction arrows and opposite pairs.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,bettergrades-interactive-2d,yes,bounded-drag; reset,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.2-V1,A3.2,A3,Anchor,Parallel equation/inequality strips.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/solving-linear-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.2-V2,A3.2,A3,Mechanism,Boundary movement.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/solving-linear-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.2-V3,A3.2,A3,Representation,Test-point verification.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/solving-linear-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.3-V1,A3.3,A3,Anchor,Number-line reflection.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/why-negative-scaling-reverses-order/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.3-V2,A3.3,A3,Mechanism,Scaled comparison pairs.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/why-negative-scaling-reverses-order/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.3-V3,A3.3,A3,Representation,Invalid unreversed solution panel.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/why-negative-scaling-reverses-order/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.4-V1,A3.4,A3,Anchor,Open/closed endpoint controls.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/interval-notation-and-endpoint-meaning/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.4-V2,A3.4,A3,Mechanism,Three-representation strip.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/interval-notation-and-endpoint-meaning/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.4-V3,A3.4,A3,Representation,Infinity-bracket warning.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/interval-notation-and-endpoint-meaning/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.5-V1,A3.5,A3,Anchor,Layered interval intersection.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.5-V2,A3.5,A3,Mechanism,Union merge.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.5-V3,A3.5,A3,Representation,And/or logic diagram.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/compound-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.6-V1,A3.6,A3,Anchor,Draggable point and center.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/absolute-value-as-distance/,bettergrades-interactive-2d,yes,bounded-drag; reset,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.6-V2,A3.6,A3,Mechanism,Equal-distance pair.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/absolute-value-as-distance/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.6-V3,A3.6,A3,Representation,Radius interval.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/absolute-value-as-distance/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.7-V1,A3.7,A3,Anchor,Distance circle collapsed to a number line.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/absolute-value-equations-and-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.7-V2,A3.7,A3,Mechanism,Inside/outside regions.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/absolute-value-equations-and-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.7-V3,A3.7,A3,Representation,False one-branch comparison.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/absolute-value-equations-and-inequalities/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.8-V1,A3.8,A3,Anchor,Formula balance.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/literal-equations-and-formulas/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.8-V2,A3.8,A3,Mechanism,Variable-isolation path.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/literal-equations-and-formulas/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A3.8-V3,A3.8,A3,Representation,Units before and after rearrangement.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/inequalities-absolute-value/literal-equations-and-formulas/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.1-V1,A4.1,A4,Anchor,Ratio tape diagrams.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/ratios-and-equivalent-ratios/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.1-V2,A4.1,A4,Mechanism,Equivalent-ratio table.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/ratios-and-equivalent-ratios/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.1-V3,A4.1,A4,Representation,Reversed-ratio contrast.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/ratios-and-equivalent-ratios/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.2-V1,A4.2,A4,Anchor,Double number line.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/unit-rates/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.2-V2,A4.2,A4,Mechanism,Unit-rate bar.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/unit-rates/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.2-V3,A4.2,A4,Representation,Mixed-unit comparison.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/unit-rates/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.3-V1,A4.3,A4,Anchor,Origin-passing line linked to ratio table.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/proportional-relationships/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.3-V2,A4.3,A4,Mechanism,Constant-k tracker.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/proportional-relationships/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.3-V3,A4.3,A4,Representation,Nonproportional contrast.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/proportional-relationships/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.4-V1,A4.4,A4,Anchor,Percent multiplier machine.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/percent-as-a-multiplier/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.4-V2,A4.4,A4,Mechanism,Before-after bars.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/percent-as-a-multiplier/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.4-V3,A4.4,A4,Representation,Repeated-versus-single change comparison.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/percent-as-a-multiplier/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.5-V1,A4.5,A4,Anchor,Point-table-equation linkage.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/coordinate-plane-and-equation-solutions/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.5-V2,A4.5,A4,Mechanism,Coordinate locator.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/coordinate-plane-and-equation-solutions/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.5-V3,A4.5,A4,Representation,Solution/non-solution points.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/coordinate-plane-and-equation-solutions/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.6-V1,A4.6,A4,Anchor,Context-labeled axis crossings.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/intercepts/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.6-V2,A4.6,A4,Mechanism,Intercept calculation.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/intercepts/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.6-V3,A4.6,A4,Representation,Out-of-domain intercept warning.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/intercepts/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.7-V1,A4.7,A4,Anchor,Draggable slope triangle.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/slope-from-graphs-and-tables/,bettergrades-interactive-2d,yes,bounded-drag; reset,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.7-V2,A4.7,A4,Mechanism,First-difference table.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/slope-from-graphs-and-tables/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.7-V3,A4.7,A4,Representation,Unit-labeled rise/run.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/slope-from-graphs-and-tables/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.8-V1,A4.8,A4,Anchor,Two-point secant triangle.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/slope-from-two-points/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.8-V2,A4.8,A4,Mechanism,Order tracker.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/slope-from-two-points/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.8-V3,A4.8,A4,Representation,Vertical-line special case.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/slope-from-two-points/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
A4.9-V1,A4.9,A4,Anchor,Same line in three forms.,Interactive when manipulation reveals mechanism; otherwise static SVG.,"Describe all mathematically relevant geometry, labels, direction, and state without giving away an intended inference.",/subjects/math/algebra/linear-relationships/equations-of-lines/,static-svg,no,,mandatory deterministic SVG; unchanged on interaction failure,title + visible caption + long description + reading order + non-color cue + keyboard semantics when interactive,grayscale-safe compiled print mapping or verified SVG asset,<50 KB optimized SVG target; interactive route payload remains route-local and within BVLP budgets,"VisualSpec v1 only; no renderer APIs, arbitrary code, raw TikZ, or source LaTeX in public payloads"
