id,path,title,page_type,unit,action,indexable,sequence,notes
algebra-a9-mastery-key,/subjects/math/algebra/quadratic-functions/mastery-check/answer-key/,Quadratic Functions and Models: mastery answer key,answer-key,A9,create,yes,,
algebra-a9-investigation,/subjects/math/algebra/quadratic-functions/investigation/,Quadratic Functions and Models: investigation,investigation,A9,create,yes,,
algebra-a10-hub,/subjects/math/algebra/rational-expressions/,"Unit A10: Rational Expressions, Equations, and Variation",unit-hub,A10,claim-existing-topic-root,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a10-1,/subjects/math/algebra/rational-expressions/rational-expressions-and-restrictions/,Rational expressions and restrictions,lesson,A10,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-2,/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/,Simplifying rational expressions,lesson,A10,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-3,/subjects/math/algebra/rational-expressions/multiplication-of-rational-expressions/,Multiplication of rational expressions,lesson,A10,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-4,/subjects/math/algebra/rational-expressions/division-of-rational-expressions/,Division of rational expressions,lesson,A10,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-5,/subjects/math/algebra/rational-expressions/least-common-denominators/,Least common denominators,lesson,A10,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-6,/subjects/math/algebra/rational-expressions/addition-and-subtraction/,Addition and subtraction,lesson,A10,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-7,/subjects/math/algebra/rational-expressions/complex-rational-expressions/,Complex rational expressions,lesson,A10,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-8,/subjects/math/algebra/rational-expressions/rational-equations/,Rational equations,lesson,A10,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-9,/subjects/math/algebra/rational-expressions/direct-inverse-and-joint-variation/,"Direct, inverse, and joint variation",lesson,A10,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-10,/subjects/math/algebra/rational-expressions/rational-inequalities-and-introductory-graphs/,Rational inequalities and introductory graphs,lesson,A10,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a10-review,/subjects/math/algebra/rational-expressions/review/,"Rational Expressions, Equations, and Variation: cumulative review",review,A10,create,yes,,
algebra-a10-practice,/subjects/math/algebra/rational-expressions/practice/,"Rational Expressions, Equations, and Variation: mixed practice",practice,A10,create,yes,,
algebra-a10-mastery,/subjects/math/algebra/rational-expressions/mastery-check/,"Rational Expressions, Equations, and Variation: mastery check",mastery-check,A10,create,yes,,
algebra-a10-mastery-key,/subjects/math/algebra/rational-expressions/mastery-check/answer-key/,"Rational Expressions, Equations, and Variation: mastery answer key",answer-key,A10,create,yes,,
algebra-a11-hub,/subjects/math/algebra/radicals-complex-numbers/,"Unit A11: Radicals, Rational Exponents, and Complex Numbers",unit-hub,A11,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a11-1,/subjects/math/algebra/radicals-complex-numbers/general-nth-roots-and-principal-roots/,General nth roots and principal roots,lesson,A11,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-2,/subjects/math/algebra/radicals-complex-numbers/simplifying-radicals/,Simplifying radicals,lesson,A11,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-3,/subjects/math/algebra/radicals-complex-numbers/products-and-quotients-of-radicals/,Products and quotients of radicals,lesson,A11,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-4,/subjects/math/algebra/radicals-complex-numbers/adding-and-subtracting-radicals/,Adding and subtracting radicals,lesson,A11,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-5,/subjects/math/algebra/radicals-complex-numbers/rationalizing-monomial-denominators/,Rationalizing monomial denominators,lesson,A11,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-6,/subjects/math/algebra/radicals-complex-numbers/conjugates-and-binomial-denominators/,Conjugates and binomial denominators,lesson,A11,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-7,/subjects/math/algebra/radicals-complex-numbers/rational-exponents/,Rational exponents,lesson,A11,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-8,/subjects/math/algebra/radicals-complex-numbers/solving-radical-equations/,Solving radical equations,lesson,A11,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-9,/subjects/math/algebra/radicals-complex-numbers/extraneous-solutions-and-domain/,Extraneous solutions and domain,lesson,A11,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-10,/subjects/math/algebra/radicals-complex-numbers/complex-numbers-and-conjugates/,Complex numbers and conjugates,lesson,A11,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a11-review,/subjects/math/algebra/radicals-complex-numbers/review/,"Radicals, Rational Exponents, and Complex Numbers: cumulative review",review,A11,create,yes,,
algebra-a11-practice,/subjects/math/algebra/radicals-complex-numbers/practice/,"Radicals, Rational Exponents, and Complex Numbers: mixed practice",practice,A11,create,yes,,
algebra-a11-mastery,/subjects/math/algebra/radicals-complex-numbers/mastery-check/,"Radicals, Rational Exponents, and Complex Numbers: mastery check",mastery-check,A11,create,yes,,
algebra-a11-mastery-key,/subjects/math/algebra/radicals-complex-numbers/mastery-check/answer-key/,"Radicals, Rational Exponents, and Complex Numbers: mastery answer key",answer-key,A11,create,yes,,
algebra-a12-hub,/subjects/math/algebra/functions/,Unit A12: Functions as a Unifying Language,unit-hub,A12,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a12-1,/subjects/math/algebra/functions/relations-and-functions/,Relations and functions,lesson,A12,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-2,/subjects/math/algebra/functions/function-notation-and-evaluation/,Function notation and evaluation,lesson,A12,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-3,/subjects/math/algebra/functions/solving-f-x-k/,Solving f(x)=k,lesson,A12,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-4,/subjects/math/algebra/functions/domain/,Domain,lesson,A12,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-5,/subjects/math/algebra/functions/range-and-graph-behavior/,Range and graph behavior,lesson,A12,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-6,/subjects/math/algebra/functions/piecewise-defined-functions/,Piecewise-defined functions,lesson,A12,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-7,/subjects/math/algebra/functions/arithmetic-with-functions/,Arithmetic with functions,lesson,A12,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-8,/subjects/math/algebra/functions/comparing-algebraic-families/,Comparing algebraic families,lesson,A12,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a12-review,/subjects/math/algebra/functions/review/,Functions as a Unifying Language: cumulative review,review,A12,create,yes,,
algebra-a12-practice,/subjects/math/algebra/functions/practice/,Functions as a Unifying Language: mixed practice,practice,A12,create,yes,,
algebra-a12-mastery,/subjects/math/algebra/functions/mastery-check/,Functions as a Unifying Language: mastery check,mastery-check,A12,create,yes,,
algebra-a12-mastery-key,/subjects/math/algebra/functions/mastery-check/answer-key/,Functions as a Unifying Language: mastery answer key,answer-key,A12,create,yes,,
algebra-a13-hub,/subjects/math/algebra/exponential-logarithmic/,Unit A13: Exponential and Logarithmic Algebra,unit-hub,A13,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a13-1,/subjects/math/algebra/exponential-logarithmic/additive-versus-multiplicative-patterns/,Additive versus multiplicative patterns,lesson,A13,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-2,/subjects/math/algebra/exponential-logarithmic/geometric-sequences-and-repeated-percent-change/,Geometric sequences and repeated percent change,lesson,A13,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-3,/subjects/math/algebra/exponential-logarithmic/exponential-functions/,Exponential functions,lesson,A13,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-4,/subjects/math/algebra/exponential-logarithmic/graphs-and-transformations-of-exponentials/,Graphs and transformations of exponentials,lesson,A13,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-5,/subjects/math/algebra/exponential-logarithmic/growth-and-decay-models/,Growth and decay models,lesson,A13,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-6,/subjects/math/algebra/exponential-logarithmic/compound-interest/,Compound interest,lesson,A13,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-7,/subjects/math/algebra/exponential-logarithmic/continuous-growth-and-e/,Continuous growth and e,lesson,A13,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-8,/subjects/math/algebra/exponential-logarithmic/logarithms-as-inverse-operations/,Logarithms as inverse operations,lesson,A13,create,yes,8,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-9,/subjects/math/algebra/exponential-logarithmic/logarithm-laws/,Logarithm laws,lesson,A13,create,yes,9,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-10,/subjects/math/algebra/exponential-logarithmic/solving-exponential-equations/,Solving exponential equations,lesson,A13,create,yes,10,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-11,/subjects/math/algebra/exponential-logarithmic/solving-logarithmic-equations-and-logarithmic-models/,Solving logarithmic equations and logarithmic models,lesson,A13,create,yes,11,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a13-review,/subjects/math/algebra/exponential-logarithmic/review/,Exponential and Logarithmic Algebra: cumulative review,review,A13,create,yes,,
algebra-a13-practice,/subjects/math/algebra/exponential-logarithmic/practice/,Exponential and Logarithmic Algebra: mixed practice,practice,A13,create,yes,,
algebra-a13-mastery,/subjects/math/algebra/exponential-logarithmic/mastery-check/,Exponential and Logarithmic Algebra: mastery check,mastery-check,A13,create,yes,,
algebra-a13-mastery-key,/subjects/math/algebra/exponential-logarithmic/mastery-check/answer-key/,Exponential and Logarithmic Algebra: mastery answer key,answer-key,A13,create,yes,,
algebra-a13-investigation,/subjects/math/algebra/exponential-logarithmic/investigation/,Exponential and Logarithmic Algebra: investigation,investigation,A13,create,yes,,
algebra-a14-hub,/subjects/math/algebra/precalculus-readiness/,Unit A14: Algebra Synthesis and Precalculus Readiness,unit-hub,A14,create,yes,0,Unit route resolves before legacy topic routing when a collision exists; child guide routes remain valid.
algebra-a14-1,/subjects/math/algebra/precalculus-readiness/classifying-mathematical-objects/,Classifying mathematical objects,lesson,A14,create,yes,1,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-2,/subjects/math/algebra/precalculus-readiness/classifying-equation-families/,Classifying equation families,lesson,A14,create,yes,2,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-3,/subjects/math/algebra/precalculus-readiness/choosing-a-solving-method/,Choosing a solving method,lesson,A14,create,yes,3,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-4,/subjects/math/algebra/precalculus-readiness/restrictions-implications-and-candidates/,"Restrictions, implications, and candidates",lesson,A14,create,yes,4,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-5,/subjects/math/algebra/precalculus-readiness/exact-versus-approximate-answers-and-technology/,Exact versus approximate answers and technology,lesson,A14,create,yes,5,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-6,/subjects/math/algebra/precalculus-readiness/graphical-and-algebraic-cross-checking/,Graphical and algebraic cross-checking,lesson,A14,create,yes,6,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-7,/subjects/math/algebra/precalculus-readiness/precalculus-readiness-capstone/,Precalculus-readiness capstone,lesson,A14,create,yes,7,"Core sequence page with previous/next navigation, route-local visuals, attempt-gated checks, and repair links."
algebra-a14-review,/subjects/math/algebra/precalculus-readiness/review/,Algebra Synthesis and Precalculus Readiness: cumulative review,review,A14,create,yes,,
algebra-a14-practice,/subjects/math/algebra/precalculus-readiness/practice/,Algebra Synthesis and Precalculus Readiness: mixed practice,practice,A14,create,yes,,
algebra-a14-mastery,/subjects/math/algebra/precalculus-readiness/mastery-check/,Algebra Synthesis and Precalculus Readiness: mastery check,mastery-check,A14,create,yes,,
algebra-a14-mastery-key,/subjects/math/algebra/precalculus-readiness/mastery-check/answer-key/,Algebra Synthesis and Precalculus Readiness: mastery answer key,answer-key,A14,create,yes,,
algebra-a14-investigation,/subjects/math/algebra/precalculus-readiness/investigation/,Algebra Synthesis and Precalculus Readiness: investigation,investigation,A14,create,yes,,
algebra-course-diagnostic,/subjects/math/algebra/diagnostic/,Algebra readiness diagnostic,diagnostic,,create,yes,,
algebra-final-exam,/subjects/math/algebra/final-exam/,Algebra final exam,exam,,create,yes,,
algebra-final-exam-key,/subjects/math/algebra/final-exam/answer-key/,Algebra final exam answer key,answer-key,,create,yes,,
