exercise_id,lesson_id,unit,sequence,prompt,answer
P2.6-E06,P2.6,P2,6,State the condition that must be checked before using the method.,"Negative scale factors also reflect, and domain boundaries follow the x-coordinate map."
P2.6-E07,P2.6,P2,7,Describe the first invalid step in the common error.,A frequent error is multiplying horizontal coordinates by c instead of dividing.
P2.6-E08,P2.6,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.6-E09,P2.6,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.6-E10,P2.6,P2,10,State how this lesson connects forward.,"The next lesson, Combined transformations, uses this result as part of a larger structure."
P2.7-E01,P2.7,P2,1,Vertex of 3(x+2)^2-7.,"(-2,-7)."
P2.7-E02,P2.7,P2,2,Endpoint of -sqrt(x-5)+4.,"(5,4)."
P2.7-E03,P2.7,P2,3,Asymptotes of 2/(x+1)-3.,"x=-1,y=-3."
P2.7-E04,P2.7,P2,4,General point map.,"(u,v) to (h+u/b,av+k)."
P2.7-E05,P2.7,P2,5,State the defining idea of combined transformations in one precise sentence.,Combined transformations are governed by one coordinate map rather than a memorized drawing order.
P2.7-E06,P2.7,P2,6,State the condition that must be checked before using the method.,Equivalent algebraic forms may describe the same final map through different verbal sequences.
P2.7-E07,P2.7,P2,7,Describe the first invalid step in the common error.,A frequent error is plotting many points before mapping the defining features.
P2.7-E08,P2.7,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.7-E09,P2.7,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.7-E10,P2.7,P2,10,State how this lesson connects forward.,"The next lesson, Sums and differences of functions, uses this result as part of a larger structure."
P2.8-E01,P2.8,P2,1,"f=2x,g=x^2; f+g.",x^2+2x.
P2.8-E02,P2.8,P2,2,"If f(2)=5,g(2)=-1.",4.
P2.8-E03,P2.8,P2,3,Domain sqrt(x-3)+ln x.,"[3,∞)."
P2.8-E04,P2.8,P2,4,"If g-f=7, f-g.",-7.
P2.8-E05,P2.8,P2,5,State the defining idea of sums and differences of functions in one precise sentence.,Function sums and differences combine outputs at the same input.
P2.8-E06,P2.8,P2,6,State the condition that must be checked before using the method.,"Units must be compatible, and subtraction order matters."
P2.8-E07,P2.8,P2,7,Describe the first invalid step in the common error.,A frequent error is confusing f(x)+g(x) with composition f(x+g(x)).
P2.8-E08,P2.8,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.8-E09,P2.8,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.8-E10,P2.8,P2,10,State how this lesson connects forward.,"The next lesson, Products and quotients of functions, uses this result as part of a larger structure."
P2.9-E01,P2.9,P2,1,Zeros of x(x-5).,"0,5."
P2.9-E02,P2.9,P2,2,Domain (x+1)/x^2.,x≠0.
P2.9-E03,P2.9,P2,3,"If f(3)=2,g(3)=-4, product.",-8.
P2.9-E04,P2.9,P2,4,Quotient.,-1/2.
P2.9-E05,P2.9,P2,5,State the defining idea of products and quotients of functions in one precise sentence.,Product functions multiply outputs; quotient functions divide outputs and exclude every denominator-function zero.
P2.9-E06,P2.9,P2,6,State the condition that must be checked before using the method.,A cancelled denominator factor still excludes its original input.
P2.9-E07,P2.9,P2,7,Describe the first invalid step in the common error.,A frequent error is forgetting the extra quotient condition g(x)≠0.
P2.9-E08,P2.9,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.9-E09,P2.9,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.9-E10,P2.9,P2,10,State how this lesson connects forward.,"The next lesson, Reconstructing formulas from transformed graphs, uses this result as part of a larger structure."
P2.10-E01,P2.10,P2,1,"Vertex (1,2), point (3,10).",2(x-1)^2+2.
P2.10-E02,P2.10,P2,2,"Absolute value vertex (4,-1), point (6,5).",3|x-4|-1.
P2.10-E03,P2.10,P2,3,"Root endpoint (2,-3), point (6,1).",2sqrt(x-2)-3.
P2.10-E04,P2.10,P2,4,One clue for uniqueness.,"Domain, end behavior, another point, or family assumption."
P2.10-E05,P2.10,P2,5,State the defining idea of reconstructing formulas from transformed graphs in one precise sentence.,Visible graph features determine a parameterized family form; one additional point often determines the remaining scale.
P2.10-E06,P2.10,P2,6,State the condition that must be checked before using the method.,A finite point set does not determine a unique family without structural evidence.
P2.10-E07,P2.10,P2,7,Describe the first invalid step in the common error.,A frequent error is guessing from appearance and never checking a second point or domain.
P2.10-E08,P2.10,P2,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P2.10-E09,P2.10,P2,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P2.10-E10,P2.10,P2,10,State how this lesson connects forward.,"The next lesson, Composition as sequential processing, uses this result as part of a larger structure."
P3.1-E01,P3.1,P3,1,"f=x+10,g=2x; f(g(3)).",16.
P3.1-E02,P3.1,P3,2,g(f(3)).,26.
P3.1-E03,P3.1,P3,3,Which acts first in f(g(x))?,g.
P3.1-E04,P3.1,P3,4,Write h then g then f.,f(g(h(x))).
P3.1-E05,P3.1,P3,5,State the defining idea of composition as sequential processing in one precise sentence.,Composition represents an ordered chain in which the inner function acts first.
P3.1-E06,P3.1,P3,6,State the condition that must be checked before using the method.,The intermediate output must lie in the outer function's domain and have compatible units.
P3.1-E07,P3.1,P3,7,Describe the first invalid step in the common error.,A frequent error is reading f composed with g from left to right as though f acts first.
P3.1-E08,P3.1,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.1-E09,P3.1,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.1-E10,P3.1,P3,10,State how this lesson connects forward.,"The next lesson, Composition from formulas, uses this result as part of a larger structure."
P3.2-E01,P3.2,P3,1,"f=2x+3,g=x^2; f after g.",2x^2+3.
P3.2-E02,P3.2,P3,2,g after f.,(2x+3)^2.
P3.2-E03,P3.2,P3,3,"f=1/x,g=x-4; domain.",x≠4.
P3.2-E04,P3.2,P3,4,Why parentheses?,The full inner output is one input object.
P3.2-E05,P3.2,P3,5,State the defining idea of composition from formulas in one precise sentence.,Formula composition replaces every occurrence of the outer variable with the complete inner expression.
P3.2-E06,P3.2,P3,6,State the condition that must be checked before using the method.,Simplification may hide restrictions inherited from an intermediate stage.
P3.2-E07,P3.2,P3,7,Describe the first invalid step in the common error.,A frequent error is substituting into only one term or dropping grouping symbols.
P3.2-E08,P3.2,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.2-E09,P3.2,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.2-E10,P3.2,P3,10,State how this lesson connects forward.,"The next lesson, Composition from tables and graphs, uses this result as part of a larger structure."
P3.3-E01,P3.3,P3,1,"g(4)=1,f(1)=6.",6.
P3.3-E02,P3.3,P3,2,"f(-2)=5,g(5)=0.",0.
P3.3-E03,P3.3,P3,3,Undefined versus unknown.,Excluded by domain versus missing data.
P3.3-E04,P3.3,P3,4,First lookup in f(g(a)).,Find g(a).
P3.3-E05,P3.3,P3,5,State the defining idea of composition from tables and graphs in one precise sentence.,Composition from tables or graphs uses two successive input-output readings.
P3.3-E06,P3.3,P3,6,State the condition that must be checked before using the method.,A missing table entry is not automatically an excluded domain value; distinguish insufficient data from undefinedness.
P3.3-E07,P3.3,P3,7,Describe the first invalid step in the common error.,A frequent error is using the original input in both functions.
P3.3-E08,P3.3,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.3-E09,P3.3,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.3-E10,P3.3,P3,10,State how this lesson connects forward.,"The next lesson, Domains of composite functions, uses this result as part of a larger structure."
P3.4-E01,P3.4,P3,1,Domain sqrt(x-5).,"[5,∞)."
P3.4-E02,P3.4,P3,2,Domain 1/(x^2-16).,x≠±4.
P3.4-E03,P3.4,P3,3,Domain ln(4-x^2).,"(-2,2)."
P3.4-E04,P3.4,P3,4,Two domain questions.,Is x allowed by g? Is g(x) allowed by f?
P3.4-E05,P3.4,P3,5,State the defining idea of domains of composite functions in one precise sentence.,The domain of f(g(x)) requires x to be allowed by g and g(x) to be allowed by f.
P3.4-E06,P3.4,P3,6,State the condition that must be checked before using the method.,One forbidden outer input can have several original preimages.
P3.4-E07,P3.4,P3,7,Describe the first invalid step in the common error.,A frequent error is simply intersecting the written domains of f and g as though they used the same stage variable.
P3.4-E08,P3.4,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.4-E09,P3.4,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.4-E10,P3.4,P3,10,State how this lesson connects forward.,"The next lesson, One-to-one functions, uses this result as part of a larger structure."
P3.5-E01,P3.5,P3,1,Is 2x+1 one-to-one?,Yes.
P3.5-E02,P3.5,P3,2,Is x^3 one-to-one?,Yes.
P3.5-E03,P3.5,P3,3,Horizontal-line test.,Every horizontal line meets at most once.
P3.5-E04,P3.5,P3,4,Can a constant function be one-to-one on multiple inputs?,No.
P3.5-E05,P3.5,P3,5,State the defining idea of one-to-one functions in one precise sentence.,"A one-to-one function gives each output at most one input, making reverse assignment possible."
P3.5-E06,P3.5,P3,6,State the condition that must be checked before using the method.,A function that fails globally may be restricted to a monotonic interval.
P3.5-E07,P3.5,P3,7,Describe the first invalid step in the common error.,A frequent error is confusing the ordinary function condition with one-to-one behavior.
P3.5-E08,P3.5,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.5-E09,P3.5,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.5-E10,P3.5,P3,10,State how this lesson connects forward.,"The next lesson, Constructing inverse functions, uses this result as part of a larger structure."
P3.6-E01,P3.6,P3,1,Inverse of x-9.,x+9.
P3.6-E02,P3.6,P3,2,Inverse of 4x.,x/4.
P3.6-E03,P3.6,P3,3,Inverse of (x+3)/2.,2x-3.
P3.6-E04,P3.6,P3,4,Inverse versus reciprocal.,Reversal versus division into 1.
P3.6-E05,P3.6,P3,5,State the defining idea of constructing inverse functions in one precise sentence.,An inverse function reverses input and output roles; it is not the reciprocal 1/f.
P3.6-E06,P3.6,P3,6,State the condition that must be checked before using the method.,"The original function must be one-to-one on its stated domain, and a restricted branch determines any root sign."
P3.6-E07,P3.6,P3,7,Describe the first invalid step in the common error.,A frequent error is keeping both plus and minus branches and producing an inverse relation rather than a function.
P3.6-E08,P3.6,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.6-E09,P3.6,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.6-E10,P3.6,P3,10,State how this lesson connects forward.,"The next lesson, Graphs and verification of inverses, uses this result as part of a larger structure."
P3.7-E01,P3.7,P3,1,Verify x+5 and x-5.,Both compositions equal x.
P3.7-E02,P3.7,P3,2,"Reflect (3,-1) across y=x.","(-1,3)."
P3.7-E03,P3.7,P3,3,"Inverse range if original domain [2,∞).","[2,∞)."
P3.7-E04,P3.7,P3,4,Reflection line.,y=x.
P3.7-E05,P3.7,P3,5,State the defining idea of graphs and verification of inverses in one precise sentence.,Inverse functions undo each other in both composition orders and reflect across y=x.
P3.7-E06,P3.7,P3,6,State the condition that must be checked before using the method.,The two compositions begin on different domains: the original range and original domain.
P3.7-E07,P3.7,P3,7,Describe the first invalid step in the common error.,A frequent error is simplifying sqrt(x^2) to x without the branch restriction.
P3.7-E08,P3.7,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.7-E09,P3.7,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.7-E10,P3.7,P3,10,State how this lesson connects forward.,"The next lesson, Domain restrictions and radical inverses, uses this result as part of a larger structure."
P3.8-E01,P3.8,P3,1,Simplify sqrt(48).,4sqrt(3).
P3.8-E02,P3.8,P3,2,Evaluate 16^(3/4).,8.
P3.8-E03,P3.8,P3,3,State domain of sqrt(3-x).,x≤3.
P3.8-E04,P3.8,P3,4,Simplify sqrt(x^2).,|x|.
P3.8-E05,P3.8,P3,5,State the defining idea of domain restrictions and radical inverses in one precise sentence.,"Even roots require nonnegative radicands and the principal square root is nonnegative, so sqrt(x^2)=|x|."
P3.8-E06,P3.8,P3,6,State the condition that must be checked before using the method.,Negative rational exponents also require a nonzero base. Squaring is not reversible without sign and domain checks.
P3.8-E07,P3.8,P3,7,Describe the first invalid step in the common error.,A frequent error is replacing sqrt(x^2) with x for negative inputs or omitting the final check.
P3.8-E08,P3.8,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.8-E09,P3.8,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.8-E10,P3.8,P3,10,State how this lesson connects forward.,"The next lesson, Model construction and validation, uses this result as part of a larger structure."
P3.9-E01,P3.9,P3,1,Define residual.,Observed minus predicted.
P3.9-E02,P3.9,P3,2,Why inspect residual patterns?,They reveal systematic model failure.
P3.9-E03,P3.9,P3,3,Give interpolation example.,Estimate within observed range.
P3.9-E04,P3.9,P3,4,Give extrapolation example.,Predict beyond observed range.
P3.9-E05,P3.9,P3,5,State the defining idea of model construction and validation in one precise sentence.,A model is a deliberately simplified function used to answer a question; it is not the real system itself.
P3.9-E06,P3.9,P3,6,State the condition that must be checked before using the method.,"Interpolation and extrapolation must be distinguished, and causation requires evidence beyond correlation."
P3.9-E07,P3.9,P3,7,Describe the first invalid step in the common error.,A frequent error is choosing the smoothest graph or highest fit statistic without checking meaning.
P3.9-E08,P3.9,P3,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P3.9-E09,P3.9,P3,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P3.9-E10,P3.9,P3,10,State how this lesson connects forward.,"The next lesson, Power functions and dominant behavior, uses this result as part of a larger structure."
P4.1-E01,P4.1,P4,1,Parity of x^6.,Even.
P4.1-E02,P4.1,P4,2,Domain of x^-3.,x≠0.
P4.1-E03,P4.1,P4,3,Range of 1/x^2.,"(0,∞)."
P4.1-E04,P4.1,P4,4,"Faster for large x, x^3 or x^5?",x^5.
P4.1-E05,P4.1,P4,5,State the defining idea of power functions and dominant behavior in one precise sentence.,"Power functions f(x)=ax^p connect positive, negative, and fractional exponent behavior."
P4.1-E06,P4.1,P4,6,State the condition that must be checked before using the method.,Higher powers dominate for large magnitude but may be smaller between zero and one.
P4.1-E07,P4.1,P4,7,Describe the first invalid step in the common error.,A frequent error is describing every power only as steeper or flatter.
P4.1-E08,P4.1,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.1-E09,P4.1,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.1-E10,P4.1,P4,10,State how this lesson connects forward.,"The next lesson, Polynomial functions, degree, and leading term, uses this result as part of a larger structure."
P4.2-E01,P4.2,P4,1,Degree of 5x^3-2x+8.,3.
P4.2-E02,P4.2,P4,2,Leading term of -4x^7+x^9-1.,x^9.
P4.2-E03,P4.2,P4,3,Is sqrt(x)+x polynomial?,No.
P4.2-E04,P4.2,P4,4,Degree of constant 4.,0.
P4.2-E05,P4.2,P4,5,"State the defining idea of polynomial functions, degree, and leading term in one precise sentence.","A polynomial is a finite sum of nonnegative integer powers, and its leading term eventually dominates."
P4.2-E06,P4.2,P4,6,State the condition that must be checked before using the method.,Leading-term behavior is long-range and does not determine local zeros or turns.
P4.2-E07,P4.2,P4,7,Describe the first invalid step in the common error.,A frequent error is replacing the polynomial by its leading term near the origin.
P4.2-E08,P4.2,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.2-E09,P4.2,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.2-E10,P4.2,P4,10,State how this lesson connects forward.,"The next lesson, End behavior, uses this result as part of a larger structure."
P4.3-E01,P4.3,P4,1,End behavior of x^8-3x.,Both ends rise.
P4.3-E02,P4.3,P4,2,End behavior of -x^4+2.,Both ends fall.
P4.3-E03,P4.3,P4,3,Can even degree have opposite ends?,No.
P4.3-E04,P4.3,P4,4,Can odd degree have same ends?,No.
P4.3-E05,P4.3,P4,5,State the defining idea of end behavior in one precise sentence.,Polynomial end behavior is determined by degree parity and leading coefficient sign.
P4.3-E06,P4.3,P4,6,State the condition that must be checked before using the method.,Even degree gives same-direction ends; odd degree gives opposite-direction ends.
P4.3-E07,P4.3,P4,7,Describe the first invalid step in the common error.,A frequent error is stating only one end or reading behavior from the constant term.
P4.3-E08,P4.3,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.3-E09,P4.3,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.3-E10,P4.3,P4,10,State how this lesson connects forward.,"The next lesson, Zeros, factors, and intercepts, uses this result as part of a larger structure."
P4.4-E01,P4.4,P4,1,Zeros of (x-5)(x+1).,"5,-1."
P4.4-E02,P4.4,P4,2,Factor for zero 7.,x-7.
P4.4-E03,P4.4,P4,3,Intercept for zero -3.,"(-3,0)."
P4.4-E04,P4.4,P4,4,Can complex zero be x-intercept?,No.
P4.4-E05,P4.4,P4,5,"State the defining idea of zeros, factors, and intercepts in one precise sentence.","For a polynomial, P(r)=0, factor x-r, and intercept (r,0) describe the same feature."
P4.4-E06,P4.4,P4,6,State the condition that must be checked before using the method.,"A graph window can miss roots, and a complex zero is not a real x-intercept."
P4.4-E07,P4.4,P4,7,Describe the first invalid step in the common error.,A frequent error is reporting an intercept point as a zero or treating a decimal as exact.
P4.4-E08,P4.4,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.4-E09,P4.4,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.4-E10,P4.4,P4,10,State how this lesson connects forward.,"The next lesson, Multiplicity and sign behavior, uses this result as part of a larger structure."
P4.5-E01,P4.5,P4,1,Multiplicity of zero 4 in (x-4)^3.,3.
P4.5-E02,P4.5,P4,2,Behavior multiplicity 2.,Touches and turns.
P4.5-E03,P4.5,P4,3,Does even multiplicity change sign?,No.
P4.5-E04,P4.5,P4,4,Degree of (x+1)^2(x-3)^4.,6.
P4.5-E05,P4.5,P4,5,State the defining idea of multiplicity and sign behavior in one precise sentence.,Multiplicity is the exponent of a repeated zero factor and controls local sign behavior.
P4.5-E06,P4.5,P4,6,State the condition that must be checked before using the method.,Multiplicity counts toward total degree even when several counts share one intercept.
P4.5-E07,P4.5,P4,7,Describe the first invalid step in the common error.,A frequent error is assuming every intercept is a simple crossing.
P4.5-E08,P4.5,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.5-E09,P4.5,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.5-E10,P4.5,P4,10,State how this lesson connects forward.,"The next lesson, Graph construction from structure, uses this result as part of a larger structure."
P4.6-E01,P4.6,P4,1,Y-intercept of (x+1)(x-2).,-2.
P4.6-E02,P4.6,P4,2,Sign for x<-1.,Positive.
P4.6-E03,P4.6,P4,3,Max turns degree 5.,4.
P4.6-E04,P4.6,P4,4,Why no holes?,Polynomials are defined and continuous for all real x.
P4.6-E05,P4.6,P4,5,State the defining idea of graph construction from structure in one precise sentence.,"A structural polynomial sketch begins with ends, zeros, multiplicities, signs, and selected values."
P4.6-E06,P4.6,P4,6,State the condition that must be checked before using the method.,"Polynomials are continuous and cannot contain holes, jumps, or asymptotes."
P4.6-E07,P4.6,P4,7,Describe the first invalid step in the common error.,A frequent error is adding decorative wiggles unsupported by the algebra.
P4.6-E08,P4.6,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.6-E09,P4.6,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.6-E10,P4.6,P4,10,State how this lesson connects forward.,"The next lesson, Turning points and local versus global behavior, uses this result as part of a larger structure."
P4.7-E01,P4.7,P4,1,Max turns degree 2.,1.
P4.7-E02,P4.7,P4,2,Max turns degree 7.,6.
P4.7-E03,P4.7,P4,3,Does every zero create a turn?,No.
P4.7-E04,P4.7,P4,4,Which behavior guarantees absolute maximum?,Negative even degree.
P4.7-E05,P4.7,P4,5,State the defining idea of turning points and local versus global behavior in one precise sentence.,A turning point changes the graph from increasing to decreasing or the reverse.
P4.7-E06,P4.7,P4,6,State the condition that must be checked before using the method.,Odd-degree polynomials are unbounded above and below; positive even-degree polynomials have an absolute minimum.
P4.7-E07,P4.7,P4,7,Describe the first invalid step in the common error.,A frequent error is confusing an x-intercept with a turning point.
P4.7-E08,P4.7,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.7-E09,P4.7,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.7-E10,P4.7,P4,10,State how this lesson connects forward.,"The next lesson, Intermediate Value reasoning and root bounds, uses this result as part of a larger structure."
P4.8-E01,P4.8,P4,1,"Show x^3-2 root in (1,2).",Values -1 and 6 have opposite signs.
P4.8-E02,P4.8,P4,2,Can double root show no sign change?,Yes.
P4.8-E03,P4.8,P4,3,Why continuity matters?,A discontinuous graph can jump across zero.
P4.8-E04,P4.8,P4,4,Advantage of bisection.,Guaranteed bracket.
P4.8-E05,P4.8,P4,5,State the defining idea of intermediate value reasoning and root bounds in one precise sentence.,Polynomial continuity guarantees that every intermediate output between P(a) and P(b) occurs.
P4.8-E06,P4.8,P4,6,State the condition that must be checked before using the method.,Opposite signs guarantee at least one root but not uniqueness; same signs do not prove no root.
P4.8-E07,P4.8,P4,7,Describe the first invalid step in the common error.,A frequent error is treating a sign-change interval as proof of exactly one root.
P4.8-E08,P4.8,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.8-E09,P4.8,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.8-E10,P4.8,P4,10,State how this lesson connects forward.,"The next lesson, Polynomial division, uses this result as part of a larger structure."
P4.9-E01,P4.9,P4,1,Divide x^2-9 by x-3.,x+3.
P4.9-E02,P4.9,P4,2,c=-3 corresponds to divisor.,x+3.
P4.9-E03,P4.9,P4,3,Remainder degree condition.,degree R < degree D.
P4.9-E04,P4.9,P4,4,Division check.,Multiply DQ and add R.
P4.9-E05,P4.9,P4,5,State the defining idea of polynomial division in one precise sentence.,Polynomial division produces quotient and remainder satisfying P=DQ+R.
P4.9-E06,P4.9,P4,6,State the condition that must be checked before using the method.,The remainder degree must be smaller than the divisor degree; synthetic division is limited to x-c in its basic form.
P4.9-E07,P4.9,P4,7,Describe the first invalid step in the common error.,A frequent error is omitting missing powers or distributing subtraction incorrectly.
P4.9-E08,P4.9,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.9-E09,P4.9,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.9-E10,P4.9,P4,10,State how this lesson connects forward.,"The next lesson, Remainder and factor theorems, uses this result as part of a larger structure."
P4.10-E01,P4.10,P4,1,Remainder of x^2+3x+1 by x-2.,11.
P4.10-E02,P4.10,P4,2,"If P(4)=7, remainder by x-4.",7.
P4.10-E03,P4.10,P4,3,"If P(-2)=0, factor.",x+2.
P4.10-E04,P4.10,P4,4,Meaning repeated division.,Multiplicity.
P4.10-E05,P4.10,P4,5,State the defining idea of remainder and factor theorems in one precise sentence.,"The remainder on division by x-c is P(c), and x-c is a factor exactly when P(c)=0."
P4.10-E06,P4.10,P4,6,State the condition that must be checked before using the method.,Repeated successful division by the same factor reveals multiplicity.
P4.10-E07,P4.10,P4,7,Describe the first invalid step in the common error.,A frequent error is calling every rational candidate a factor before checking the remainder.
P4.10-E08,P4.10,P4,8,Explain how the result should be checked in another representation.,"Translate the answer into a graph, table, interval, mapping, equation, or context and verify that the same inputs, outputs, and restrictions appear."
P4.10-E09,P4.10,P4,9,Write one exact conclusion and one corresponding approximate conclusion.,"Keep the symbolic form exact, then report a rounded value with its stated precision only when numerical comparison is needed."
P4.10-E10,P4.10,P4,10,State how this lesson connects forward.,"The next lesson, Rational-root candidates and root search, uses this result as part of a larger structure."
P4.11-E01,P4.11,P4,1,Candidates for x^3+2x-8.,"±1,±2,±4,±8."
P4.11-E02,P4.11,P4,2,If constant term zero.,Factor out x.
P4.11-E03,P4.11,P4,3,Does theorem guarantee rational root?,No.
P4.11-E04,P4.11,P4,4,After confirming root.,Divide and analyze quotient.
P4.11-E05,P4.11,P4,5,State the defining idea of rational-root candidates and root search in one precise sentence.,The Rational Root Theorem produces a finite list of possible rational zeros p/q.
P4.11-E06,P4.11,P4,6,State the condition that must be checked before using the method.,The theorem limits rational possibilities only; irrational and complex roots may remain.
P4.11-E07,P4.11,P4,7,Describe the first invalid step in the common error.,A frequent error is treating the candidate list as the solution list or omitting fractional candidates.
